cnt	t1	t2	hum	wind_speed	weather_code	is_weekend	season	is_holiday	timestamp
2647.0	9.5	6.5	71.5	24.0	3.0	0.0	3.0	0.0	2015-01-07 17:00:00
2579.0	10.0	7.0	71.0	30.0	3.0	0.0	3.0	0.0	2015-01-07 18:00:00
657.0	10.0	6.5	79.0	30.5	3.0	0.0	3.0	0.0	2015-01-07 20:00:00
516.0	10.0	7.0	82.0	27.0	7.0	0.0	3.0	0.0	2015-01-07 21:00:00
414.0	10.0	7.0	82.0	27.0	7.0	0.0	3.0	0.0	2015-01-07 22:00:00
206.0	10.0	7.0	85.0	24.0	7.0	0.0	3.0	0.0	2015-01-07 23:00:00
123.0	11.0	11.0	82.0	26.0	4.0	0.0	3.0	0.0	2015-01-08 00:00:00
56.0	11.5	11.5	85.0	24.0	3.0	0.0	3.0	0.0	2015-01-08 01:00:00
51.0	12.0	12.0	82.0	25.0	3.0	0.0	3.0	0.0	2015-01-08 02:00:00
33.0	12.0	12.0	85.0	22.0	3.0	0.0	3.0	0.0	2015-01-08 03:00:00
32.0	12.0	12.0	88.0	20.5	7.0	0.0	3.0	0.0	2015-01-08 04:00:00
87.0	12.0	12.0	80.0	20.5	7.0	0.0	3.0	0.0	2015-01-08 05:00:00
511.0	11.5	11.5	74.5	17.0	3.0	0.0	3.0	0.0	2015-01-08 06:00:00
982.0	10.5	9.5	82.5	17.0	7.0	0.0	3.0	0.0	2015-01-08 07:00:00
1228.0	9.5	7.5	87.5	14.0	7.0	0.0	3.0	0.0	2015-01-08 08:00:00
573.0	9.0	7.0	87.0	13.0	7.0	0.0	3.0	0.0	2015-01-08 09:00:00
185.0	9.0	7.0	87.0	14.0	7.0	0.0	3.0	0.0	2015-01-08 10:00:00
193.0	9.0	6.0	82.0	20.5	7.0	0.0	3.0	0.0	2015-01-08 11:00:00
522.0	9.0	6.5	84.5	17.0	2.0	0.0	3.0	0.0	2015-01-08 12:00:00
672.0	9.0	5.5	79.0	27.0	2.0	0.0	3.0	0.0	2015-01-08 13:00:00
761.0	10.0	7.0	71.0	22.0	2.0	0.0	3.0	0.0	2015-01-08 14:00:00
781.0	9.0	6.0	71.0	22.0	2.0	0.0	3.0	0.0	2015-01-08 15:00:00
1212.0	9.0	6.0	71.0	19.5	2.0	0.0	3.0	0.0	2015-01-08 16:00:00
2351.0	9.0	6.0	76.0	22.0	2.0	0.0	3.0	0.0	2015-01-08 17:00:00
2110.0	8.5	5.5	73.5	22.5	1.0	0.0	3.0	0.0	2015-01-08 18:00:00
1239.0	8.0	5.0	73.5	20.5	1.0	0.0	3.0	0.0	2015-01-08 19:00:00
752.0	8.0	5.0	76.0	17.0	1.0	0.0	3.0	0.0	2015-01-08 20:00:00
457.0	8.0	4.5	76.0	20.5	1.0	0.0	3.0	0.0	2015-01-08 21:00:00
423.0	8.5	5.5	73.5	21.0	1.0	0.0	3.0	0.0	2015-01-08 22:00:00
267.0	9.0	5.5	76.0	27.0	2.0	0.0	3.0	0.0	2015-01-08 23:00:00
147.0	10.0	7.0	71.0	28.0	2.0	0.0	3.0	0.0	2015-01-09 00:00:00
60.0	10.0	7.0	73.5	30.0	7.0	0.0	3.0	0.0	2015-01-09 01:00:00
65.0	10.0	6.5	79.0	29.5	7.0	0.0	3.0	0.0	2015-01-09 02:00:00
42.0	11.0	11.0	79.5	29.0	3.0	0.0	3.0	0.0	2015-01-09 03:00:00
47.0	11.0	11.0	85.0	33.0	3.0	0.0	3.0	0.0	2015-01-09 04:00:00
85.0	11.5	11.5	85.0	33.0	3.0	0.0	3.0	0.0	2015-01-09 05:00:00
441.0	12.0	12.0	82.0	32.5	3.0	0.0	3.0	0.0	2015-01-09 06:00:00
1593.0	12.0	12.0	82.0	31.5	3.0	0.0	3.0	0.0	2015-01-09 07:00:00
3505.0	12.0	12.0	79.5	25.0	2.0	0.0	3.0	0.0	2015-01-09 08:00:00
1768.0	12.0	12.0	74.5	30.0	2.0	0.0	3.0	0.0	2015-01-09 09:00:00
799.0	12.5	12.5	69.5	29.5	1.0	0.0	3.0	0.0	2015-01-09 10:00:00
806.0	13.0	13.0	67.0	28.0	1.0	0.0	3.0	0.0	2015-01-09 11:00:00
1052.0	13.0	13.0	67.0	26.0	1.0	0.0	3.0	0.0	2015-01-09 12:00:00
1078.0	13.0	13.0	63.0	30.0	1.0	0.0	3.0	0.0	2015-01-09 13:00:00
976.0	13.0	13.0	63.0	26.0	2.0	0.0	3.0	0.0	2015-01-09 14:00:00
912.0	13.5	13.5	67.5	33.5	7.0	0.0	3.0	0.0	2015-01-09 15:00:00
1229.0	13.0	13.0	79.5	37.0	7.0	0.0	3.0	0.0	2015-01-09 16:00:00
2409.0	13.5	13.5	85.0	35.0	7.0	0.0	3.0	0.0	2015-01-09 17:00:00
1983.0	15.0	15.0	82.0	36.0	7.0	0.0	3.0	0.0	2015-01-09 18:00:00
1094.0	15.5	15.5	77.0	41.0	7.0	0.0	3.0	0.0	2015-01-09 19:00:00
686.0	15.0	15.0	72.0	44.0	3.0	0.0	3.0	0.0	2015-01-09 20:00:00
443.0	15.0	15.0	68.0	41.0	3.0	0.0	3.0	0.0	2015-01-09 21:00:00
464.0	15.0	15.0	68.0	40.0	3.0	0.0	3.0	0.0	2015-01-09 22:00:00
420.0	14.0	14.0	77.0	41.5	4.0	0.0	3.0	0.0	2015-01-09 23:00:00
392.0	14.0	14.0	77.0	39.0	4.0	1.0	3.0	0.0	2015-01-10 00:00:00
277.0	14.0	14.0	77.0	40.0	4.0	1.0	3.0	0.0	2015-01-10 01:00:00
189.0	14.0	14.0	72.0	40.5	3.0	1.0	3.0	0.0	2015-01-10 02:00:00
153.0	13.0	13.0	77.0	41.0	3.0	1.0	3.0	0.0	2015-01-10 03:00:00
90.0	13.0	13.0	77.0	36.0	3.0	1.0	3.0	0.0	2015-01-10 04:00:00
52.0	13.0	13.0	77.0	35.0	3.0	1.0	3.0	0.0	2015-01-10 05:00:00
69.0	13.0	13.0	82.0	35.0	7.0	1.0	3.0	0.0	2015-01-10 06:00:00
143.0	13.0	13.0	79.5	35.0	3.0	1.0	3.0	0.0	2015-01-10 07:00:00
321.0	14.0	14.0	74.5	40.0	3.0	1.0	3.0	0.0	2015-01-10 08:00:00
619.0	14.0	14.0	77.0	48.0	3.0	1.0	3.0	0.0	2015-01-10 09:00:00
757.0	14.0	14.0	74.5	41.0	7.0	1.0	3.0	0.0	2015-01-10 10:00:00
800.0	11.5	11.5	67.5	42.5	3.0	1.0	3.0	0.0	2015-01-10 11:00:00
1191.0	11.5	11.5	58.0	41.5	2.0	1.0	3.0	0.0	2015-01-10 12:00:00
1395.0	10.5	8.5	54.0	38.0	3.0	1.0	3.0	0.0	2015-01-10 13:00:00
1358.0	9.0	4.5	54.0	42.5	3.0	1.0	3.0	0.0	2015-01-10 14:00:00
1436.0	9.0	5.0	48.0	35.0	2.0	1.0	3.0	0.0	2015-01-10 15:00:00
1270.0	8.0	4.0	51.5	27.0	1.0	1.0	3.0	0.0	2015-01-10 16:00:00
1054.0	8.0	4.0	51.5	29.0	2.0	1.0	3.0	0.0	2015-01-10 17:00:00
849.0	7.0	3.0	55.0	26.0	1.0	1.0	3.0	0.0	2015-01-10 18:00:00
720.0	6.0	2.0	57.0	26.0	1.0	1.0	3.0	0.0	2015-01-10 19:00:00
556.0	6.0	2.0	57.0	25.0	1.0	1.0	3.0	0.0	2015-01-10 20:00:00
349.0	6.0	2.0	57.0	21.0	1.0	1.0	3.0	0.0	2015-01-10 21:00:00
335.0	5.0	1.0	66.0	20.0	1.0	1.0	3.0	0.0	2015-01-10 22:00:00
334.0	5.0	1.0	66.0	19.5	1.0	1.0	3.0	0.0	2015-01-10 23:00:00
360.0	4.5	0.5	72.5	22.0	1.0	1.0	3.0	0.0	2015-01-11 00:00:00
255.0	4.0	-0.5	75.0	22.0	1.0	1.0	3.0	0.0	2015-01-11 01:00:00
198.0	4.0	-0.5	75.0	23.0	1.0	1.0	3.0	0.0	2015-01-11 02:00:00
135.0	4.0	-1.0	75.0	27.0	2.0	1.0	3.0	0.0	2015-01-11 03:00:00
74.0	4.0	-1.0	72.5	28.0	1.0	1.0	3.0	0.0	2015-01-11 04:00:00
57.0	4.0	-1.0	70.0	27.0	1.0	1.0	3.0	0.0	2015-01-11 05:00:00
67.0	4.5	0.0	68.0	24.0	1.0	1.0	3.0	0.0	2015-01-11 06:00:00
93.0	5.0	1.0	66.0	24.0	1.0	1.0	3.0	0.0	2015-01-11 07:00:00
241.0	5.0	0.0	66.0	29.5	1.0	1.0	3.0	0.0	2015-01-11 08:00:00
538.0	5.5	0.5	63.5	29.0	1.0	1.0	3.0	0.0	2015-01-11 09:00:00
922.0	6.5	2.0	61.0	30.0	1.0	1.0	3.0	0.0	2015-01-11 10:00:00
1248.0	7.5	3.5	59.0	27.0	1.0	1.0	3.0	0.0	2015-01-11 11:00:00
1555.0	8.5	4.5	55.5	27.0	1.0	1.0	3.0	0.0	2015-01-11 12:00:00
1813.0	9.0	5.0	56.0	28.0	2.0	1.0	3.0	0.0	2015-01-11 13:00:00
1639.0	9.0	5.0	60.0	28.0	2.0	1.0	3.0	0.0	2015-01-11 14:00:00
1464.0	8.5	5.0	64.0	26.0	3.0	1.0	3.0	0.0	2015-01-11 15:00:00
1097.0	8.0	4.5	66.0	23.0	3.0	1.0	3.0	0.0	2015-01-11 16:00:00
827.0	8.0	5.0	71.0	20.5	7.0	1.0	3.0	0.0	2015-01-11 17:00:00
519.0	8.0	4.0	73.5	25.0	7.0	1.0	3.0	0.0	2015-01-11 18:00:00
493.0	8.0	4.0	73.5	24.0	3.0	1.0	3.0	0.0	2015-01-11 19:00:00
315.0	8.0	4.5	71.0	26.0	7.0	1.0	3.0	0.0	2015-01-11 20:00:00
260.0	8.0	4.0	71.0	30.0	7.0	1.0	3.0	0.0	2015-01-11 21:00:00
237.0	9.0	5.0	66.0	37.0	7.0	1.0	3.0	0.0	2015-01-11 22:00:00
168.0	9.0	5.0	71.0	30.5	3.0	1.0	3.0	0.0	2015-01-11 23:00:00
117.0	9.0	5.0	68.5	29.0	2.0	0.0	3.0	0.0	2015-01-12 00:00:00
45.0	10.0	6.0	60.0	34.0	4.0	0.0	3.0	0.0	2015-01-12 01:00:00
29.0	10.0	7.0	64.5	30.0	4.0	0.0	3.0	0.0	2015-01-12 02:00:00
36.0	10.0	6.5	67.0	30.5	3.0	0.0	3.0	0.0	2015-01-12 03:00:00
26.0	10.0	6.5	67.0	33.5	3.0	0.0	3.0	0.0	2015-01-12 04:00:00
86.0	10.0	6.0	67.0	35.0	3.0	0.0	3.0	0.0	2015-01-12 05:00:00
433.0	10.0	6.0	73.5	31.0	7.0	0.0	3.0	0.0	2015-01-12 06:00:00
1541.0	10.0	7.0	76.0	30.0	7.0	0.0	3.0	0.0	2015-01-12 07:00:00
3418.0	10.0	6.0	76.0	31.0	3.0	0.0	3.0	0.0	2015-01-12 08:00:00
1832.0	11.5	11.5	67.0	32.5	3.0	0.0	3.0	0.0	2015-01-12 09:00:00
723.0	12.0	12.0	67.0	33.0	3.0	0.0	3.0	0.0	2015-01-12 10:00:00
654.0	12.0	12.0	74.5	39.0	3.0	0.0	3.0	0.0	2015-01-12 11:00:00
700.0	12.0	12.0	79.5	29.5	3.0	0.0	3.0	0.0	2015-01-12 12:00:00
631.0	12.0	12.0	79.5	29.5	3.0	0.0	3.0	0.0	2015-01-12 13:00:00
520.0	12.5	12.5	77.0	33.0	7.0	0.0	3.0	0.0	2015-01-12 14:00:00
374.0	12.0	12.0	82.0	25.0	7.0	0.0	3.0	0.0	2015-01-12 15:00:00
669.0	12.0	12.0	82.0	22.5	7.0	0.0	3.0	0.0	2015-01-12 16:00:00
1510.0	11.5	11.5	88.0	22.0	7.0	0.0	3.0	0.0	2015-01-12 17:00:00
1186.0	11.0	11.0	94.0	22.0	7.0	0.0	3.0	0.0	2015-01-12 18:00:00
1136.0	11.5	11.5	85.0	22.0	7.0	0.0	3.0	0.0	2015-01-12 19:00:00
753.0	12.0	12.0	82.0	20.0	4.0	0.0	3.0	0.0	2015-01-12 20:00:00
510.0	12.0	12.0	85.0	18.5	7.0	0.0	3.0	0.0	2015-01-12 21:00:00
184.0	12.0	12.0	88.0	21.0	7.0	0.0	3.0	0.0	2015-01-12 22:00:00
86.0	12.0	12.0	88.0	23.0	7.0	0.0	3.0	0.0	2015-01-12 23:00:00
64.0	12.0	12.0	88.0	25.0	7.0	0.0	3.0	0.0	2015-01-13 00:00:00
29.0	12.0	12.0	88.0	30.0	7.0	0.0	3.0	0.0	2015-01-13 01:00:00
21.0	11.5	11.5	88.0	24.5	7.0	0.0	3.0	0.0	2015-01-13 02:00:00
13.0	11.0	11.0	85.0	19.0	7.0	0.0	3.0	0.0	2015-01-13 03:00:00
33.0	11.0	11.0	82.0	21.0	7.0	0.0	3.0	0.0	2015-01-13 04:00:00
113.0	10.5	9.0	79.5	21.0	7.0	0.0	3.0	0.0	2015-01-13 05:00:00
600.0	10.0	7.5	82.0	20.5	2.0	0.0	3.0	0.0	2015-01-13 06:00:00
1584.0	9.5	6.5	79.0	21.0	7.0	0.0	3.0	0.0	2015-01-13 07:00:00
3960.0	9.0	6.5	71.0	16.0	2.0	0.0	3.0	0.0	2015-01-13 08:00:00
2090.0	9.0	6.0	71.0	18.0	2.0	0.0	3.0	0.0	2015-01-13 09:00:00
960.0	9.0	6.5	71.0	17.5	1.0	0.0	3.0	0.0	2015-01-13 10:00:00
866.0	9.0	6.0	68.5	18.0	2.0	0.0	3.0	0.0	2015-01-13 11:00:00
1019.0	9.5	6.5	64.0	20.5	7.0	0.0	3.0	0.0	2015-01-13 12:00:00
719.0	9.0	5.5	73.5	27.5	7.0	0.0	3.0	0.0	2015-01-13 13:00:00
811.0	8.5	4.5	71.0	29.0	7.0	0.0	3.0	0.0	2015-01-13 14:00:00
883.0	8.0	4.5	73.5	21.5	2.0	0.0	3.0	0.0	2015-01-13 15:00:00
1391.0	7.5	4.0	68.5	23.0	2.0	0.0	3.0	0.0	2015-01-13 16:00:00
2886.0	7.0	3.0	71.0	22.0	2.0	0.0	3.0	0.0	2015-01-13 17:00:00
2659.0	7.0	4.5	71.0	14.0	7.0	0.0	3.0	0.0	2015-01-13 18:00:00
1548.0	6.0	2.5	76.0	19.5	7.0	0.0	3.0	0.0	2015-01-13 19:00:00
947.0	5.5	1.5	76.0	21.0	2.0	0.0	3.0	0.0	2015-01-13 20:00:00
660.0	5.0	1.0	76.0	23.0	2.0	0.0	3.0	0.0	2015-01-13 21:00:00
501.0	5.0	2.0	76.0	17.0	1.0	0.0	3.0	0.0	2015-01-13 22:00:00
340.0	5.0	1.0	70.0	19.5	1.0	0.0	3.0	0.0	2015-01-13 23:00:00
168.0	5.0	0.5	66.0	26.0	1.0	0.0	3.0	0.0	2015-01-14 00:00:00
79.0	5.0	0.0	66.0	30.0	1.0	0.0	3.0	0.0	2015-01-14 01:00:00
60.0	5.0	0.5	66.0	24.0	1.0	0.0	3.0	0.0	2015-01-14 02:00:00
54.0	4.5	0.5	72.5	21.0	1.0	0.0	3.0	0.0	2015-01-14 03:00:00
44.0	4.5	1.5	72.5	14.0	1.0	0.0	3.0	0.0	2015-01-14 04:00:00
93.0	5.0	1.5	70.0	17.5	1.0	0.0	3.0	0.0	2015-01-14 05:00:00
560.0	5.0	1.0	70.0	23.0	3.0	0.0	3.0	0.0	2015-01-14 06:00:00
1820.0	4.5	-1.0	68.0	30.5	2.0	0.0	3.0	0.0	2015-01-14 07:00:00
3904.0	4.0	-1.0	70.0	26.0	2.0	0.0	3.0	0.0	2015-01-14 08:00:00
2064.0	4.5	-0.5	68.0	29.0	2.0	0.0	3.0	0.0	2015-01-14 09:00:00
841.0	5.0	0.0	70.0	30.5	2.0	0.0	3.0	0.0	2015-01-14 10:00:00
732.0	5.5	1.0	65.5	27.0	2.0	0.0	3.0	0.0	2015-01-14 11:00:00
1013.0	6.5	2.5	59.0	27.0	2.0	0.0	3.0	0.0	2015-01-14 12:00:00
1066.0	7.0	3.0	57.0	24.0	2.0	0.0	3.0	0.0	2015-01-14 13:00:00
913.0	7.0	3.5	55.0	22.0	2.0	0.0	3.0	0.0	2015-01-14 14:00:00
969.0	7.0	4.0	55.0	18.0	1.0	0.0	3.0	0.0	2015-01-14 15:00:00
1365.0	7.0	4.5	59.0	16.0	1.0	0.0	3.0	0.0	2015-01-14 16:00:00
2638.0	7.5	4.5	64.0	16.0	2.0	0.0	3.0	0.0	2015-01-14 17:00:00
1974.0	8.0	4.5	71.0	21.5	2.0	0.0	3.0	0.0	2015-01-14 18:00:00
1254.0	9.0	5.5	71.0	27.0	3.0	0.0	3.0	0.0	2015-01-14 19:00:00
885.0	10.0	6.0	69.0	31.0	3.0	0.0	3.0	0.0	2015-01-14 20:00:00
537.0	10.0	6.0	71.0	38.0	7.0	0.0	3.0	0.0	2015-01-14 21:00:00
344.0	9.5	5.5	76.5	39.0	7.0	0.0	3.0	0.0	2015-01-14 22:00:00
188.0	10.0	6.0	79.0	40.0	26.0	0.0	3.0	0.0	2015-01-14 23:00:00
91.0	10.0	6.0	82.0	40.0	7.0	0.0	3.0	0.0	2015-01-15 00:00:00
66.0	11.0	11.0	79.5	40.0	26.0	0.0	3.0	0.0	2015-01-15 01:00:00
25.0	11.0	11.0	82.0	44.5	26.0	0.0	3.0	0.0	2015-01-15 02:00:00
23.0	11.5	11.5	79.5	45.0	7.0	0.0	3.0	0.0	2015-01-15 03:00:00
23.0	11.0	11.0	77.0	37.0	26.0	0.0	3.0	0.0	2015-01-15 04:00:00
62.0	10.0	6.5	79.0	31.5	7.0	0.0	3.0	0.0	2015-01-15 05:00:00
481.0	9.5	5.5	73.5	29.5	7.0	0.0	3.0	0.0	2015-01-15 06:00:00
1692.0	9.0	6.0	73.5	23.0	2.0	0.0	3.0	0.0	2015-01-15 07:00:00
3673.0	9.0	6.0	66.0	21.0	1.0	0.0	3.0	0.0	2015-01-15 08:00:00
1941.0	9.0	6.0	73.5	19.5	2.0	0.0	3.0	0.0	2015-01-15 09:00:00
844.0	9.0	6.0	76.0	21.0	2.0	0.0	3.0	0.0	2015-01-15 10:00:00
729.0	9.0	6.0	66.0	26.0	2.0	0.0	3.0	0.0	2015-01-15 11:00:00
835.0	8.5	5.0	71.0	25.0	7.0	0.0	3.0	0.0	2015-01-15 12:00:00
1005.0	9.0	5.0	64.0	32.5	2.0	0.0	3.0	0.0	2015-01-15 13:00:00
828.0	9.0	5.0	60.0	30.5	2.0	0.0	3.0	0.0	2015-01-15 14:00:00
912.0	9.0	5.0	52.0	36.0	2.0	0.0	3.0	0.0	2015-01-15 15:00:00
1249.0	8.0	4.0	53.0	29.0	2.0	0.0	3.0	0.0	2015-01-15 16:00:00
2524.0	7.5	3.5	55.0	29.5	2.0	0.0	3.0	0.0	2015-01-15 17:00:00
