Height	Weight	Index	Gender
168.0	139.0	5	Female
187.0	70.0	2	Female
158.0	153.0	5	Female
167.0	110.0	4	Female
171.0	155.0	5	Female
183.0	150.0	5	Female
190.0	156.0	5	Female
194.0	108.0	3	Male
171.0	147.0	5	Male
159.0	124.0	5	Male
169.0	54.0	2	Female
167.0	85.0	4	Female
180.0	149.0	5	Male
163.0	123.0	5	Male
140.0	79.0	5	Male
197.0	125.0	4	Male
194.0	106.0	3	Male
140.0	146.0	5	Female
195.0	98.0	3	Male
168.0	115.0	3	Female
196.0	50.0	0	Female
140.0	52.0	3	Male
150.0	60.0	3	Female
168.0	140.0	5	Female
155.0	111.0	5	Female
179.0	103.0	4	Female
182.0	84.0	3	Female
168.0	160.0	5	Male
187.0	102.0	3	Female
181.0	105.0	4	Male
199.0	99.0	2	Male
184.0	76.0	2	Female
192.0	101.0	3	Male
182.0	143.0	5	Female
172.0	111.0	4	Female
181.0	78.0	2	Male
176.0	109.0	4	Male
156.0	106.0	5	Female
151.0	67.0	3	Female
188.0	80.0	2	Female
187.0	136.0	4	Male
174.0	138.0	5	Male
167.0	151.0	5	Male
196.0	131.0	4	Female
197.0	149.0	4	Male
185.0	119.0	4	Female
170.0	102.0	4	Female
181.0	94.0	3	Female
166.0	126.0	5	Female
188.0	100.0	3	Male
162.0	74.0	3	Female
177.0	117.0	4	Male
162.0	97.0	4	Male
180.0	73.0	2	Male
192.0	108.0	3	Female
165.0	80.0	3	Male
167.0	135.0	5	Female
182.0	84.0	3	Female
161.0	134.0	5	Female
158.0	95.0	4	Male
141.0	85.0	5	Male
154.0	100.0	5	Male
165.0	105.0	4	Male
142.0	137.0	5	Female
141.0	94.0	5	Male
145.0	108.0	5	Male
157.0	74.0	4	Male
177.0	117.0	4	Female
166.0	144.0	5	Female
193.0	151.0	5	Male
184.0	57.0	1	Male
179.0	93.0	3	Male
156.0	89.0	4	Female
182.0	104.0	4	Male
145.0	160.0	5	Male
150.0	87.0	4	Female
145.0	99.0	5	Male
196.0	122.0	4	Female
191.0	96.0	3	Male
148.0	67.0	4	Female
150.0	84.0	4	Female
148.0	155.0	5	Male
153.0	146.0	5	Female
196.0	159.0	5	Female
185.0	52.0	0	Female
171.0	131.0	5	Female
143.0	118.0	5	Female
142.0	86.0	5	Female
141.0	126.0	5	Female
159.0	109.0	5	Male
173.0	82.0	2	Female
183.0	138.0	5	Male
152.0	90.0	4	Female
178.0	140.0	5	Male
188.0	54.0	0	Male
155.0	144.0	5	Female
166.0	70.0	3	Male
188.0	123.0	4	Male
171.0	120.0	5	Female
179.0	130.0	5	Male
186.0	137.0	4	Female
153.0	78.0	2	Female
184.0	86.0	3	Female
177.0	81.0	3	Female
145.0	78.0	4	Male
170.0	81.0	3	Male
181.0	141.0	5	Male
165.0	155.0	5	Male
174.0	65.0	2	Female
146.0	110.0	5	Female
178.0	85.0	3	Male
166.0	61.0	2	Male
191.0	62.0	1	Male
177.0	155.0	5	Female
183.0	50.0	0	Female
151.0	114.0	5	Male
182.0	98.0	3	Male
142.0	159.0	5	Female
188.0	90.0	3	Female
161.0	89.0	4	Male
153.0	70.0	3	Male
140.0	143.0	5	Male
169.0	141.0	5	Male
162.0	159.0	5	Female
183.0	147.0	5	Male
162.0	58.0	2	Female
172.0	109.0	4	Female
150.0	119.0	5	Female
169.0	145.0	5	Female
184.0	132.0	4	Female
159.0	104.0	5	Male
163.0	131.0	5	Male
156.0	137.0	5	Male
157.0	52.0	2	Female
147.0	84.0	4	Male
141.0	86.0	5	Male
173.0	139.0	5	Male
154.0	145.0	5	Male
168.0	148.0	5	Male
168.0	50.0	1	Male
145.0	130.0	5	Male
152.0	103.0	5	Male
187.0	121.0	4	Female
163.0	57.0	0	Female
178.0	83.0	3	Male
187.0	94.0	3	Female
179.0	114.0	4	Female
190.0	80.0	2	Male
172.0	75.0	3	Male
188.0	57.0	1	Male
193.0	65.0	1	Male
147.0	126.0	5	Female
147.0	94.0	5	Female
166.0	107.0	4	Male
192.0	139.0	4	Female
181.0	139.0	4	Male
150.0	74.0	4	Male
178.0	160.0	5	Male
156.0	52.0	2	Female
149.0	100.0	5	Male
156.0	74.0	4	Male
183.0	105.0	3	Male
162.0	68.0	3	Female
165.0	83.0	4	Female
168.0	143.0	5	Female
160.0	156.0	5	Male
169.0	88.0	2	Female
140.0	76.0	4	Female
187.0	92.0	3	Female
151.0	82.0	4	Male
186.0	140.0	5	Female
182.0	108.0	4	Male
188.0	81.0	2	Male
179.0	110.0	4	Male
156.0	126.0	5	Female
188.0	114.0	4	Male
183.0	153.0	5	Male
144.0	88.0	5	Male
196.0	69.0	1	Male
171.0	141.0	5	Male
171.0	147.0	5	Male
180.0	156.0	5	Female
191.0	146.0	5	Male
179.0	67.0	2	Female
180.0	60.0	2	Female
154.0	132.0	5	Female
188.0	99.0	3	Male
142.0	135.0	5	Male
170.0	95.0	4	Male
152.0	141.0	5	Male
190.0	118.0	4	Female
181.0	111.0	4	Female
153.0	104.0	5	Male
187.0	140.0	5	Male
144.0	66.0	4	Female
148.0	54.0	2	Female
199.0	92.0	2	Female
167.0	85.0	4	Female
164.0	71.0	3	Female
185.0	102.0	3	Female
164.0	160.0	5	Female
142.0	71.0	4	Male
165.0	68.0	2	Male
172.0	62.0	2	Female
157.0	56.0	2	Female
155.0	57.0	2	Male
167.0	153.0	5	Female
164.0	126.0	5	Female
189.0	125.0	4	Female
161.0	145.0	5	Female
155.0	71.0	3	Female
171.0	118.0	4	Female
154.0	92.0	4	Female
179.0	83.0	3	Male
170.0	115.0	4	Male
184.0	106.0	4	Female
191.0	68.0	2	Female
162.0	58.0	2	Male
178.0	138.0	5	Male
157.0	60.0	2	Female
184.0	83.0	2	Male
197.0	88.0	2	Male
160.0	51.0	2	Female
184.0	153.0	5	Male
190.0	50.0	0	Male
174.0	90.0	3	Male
189.0	124.0	4	Female
186.0	143.0	5	Female
180.0	58.0	1	Female
186.0	148.0	4	Female
193.0	61.0	1	Female
161.0	103.0	4	Male
151.0	158.0	5	Female
195.0	147.0	4	Female
184.0	152.0	5	Female
141.0	80.0	5	Male
185.0	94.0	3	Female
186.0	127.0	4	Female
142.0	131.0	5	Male
147.0	67.0	4	Female
151.0	62.0	3	Male
160.0	124.0	5	Female
185.0	60.0	1	Male
163.0	63.0	2	Female
174.0	95.0	4	Male
150.0	144.0	5	Female
142.0	91.0	5	Male
178.0	142.0	5	Male
154.0	96.0	5	Female
176.0	87.0	3	Male
159.0	120.0	5	Male
191.0	62.0	1	Male
177.0	117.0	4	Male
151.0	154.0	5	Male
182.0	149.0	5	Female
197.0	72.0	2	Female
146.0	138.0	5	Male
160.0	83.0	4	Female
157.0	66.0	3	Female
150.0	50.0	2	Female
167.0	58.0	2	Female
180.0	70.0	2	Female
183.0	76.0	2	Female
183.0	87.0	3	Female
152.0	154.0	5	Female
164.0	71.0	3	Female
187.0	96.0	3	Male
169.0	136.0	5	Male
149.0	61.0	3	Female
163.0	137.0	5	Male
195.0	104.0	3	Female
174.0	107.0	4	Male
182.0	70.0	2	Male
169.0	110.0	4	Male
193.0	130.0	4	Male
148.0	141.0	5	Male
186.0	68.0	2	Male
165.0	143.0	5	Male
146.0	123.0	5	Female
166.0	133.0	5	Female
179.0	56.0	1	Male
177.0	101.0	4	Female
181.0	154.0	5	Male
161.0	154.0	5	Female
157.0	103.0	5	Female
169.0	98.0	4	Female
152.0	114.0	5	Female
162.0	64.0	2	Female
162.0	130.0	5	Male
177.0	61.0	2	Female
195.0	61.0	1	Female
140.0	146.0	5	Male
186.0	146.0	5	Female
178.0	107.0	4	Female
174.0	54.0	1	Male
180.0	59.0	1	Female
188.0	141.0	4	Male
187.0	130.0	4	Female
153.0	77.0	4	Female
165.0	95.0	4	Female
178.0	79.0	2	Female
163.0	154.0	5	Female
150.0	97.0	5	Female
179.0	127.0	4	Male
165.0	62.0	2	Male
168.0	158.0	5	Male
153.0	133.0	5	Female
184.0	157.0	5	Male
188.0	65.0	1	Male
166.0	153.0	5	Female
172.0	116.0	4	Female
182.0	73.0	2	Male
143.0	149.0	5	Male
152.0	146.0	5	Male
186.0	128.0	4	Female
159.0	140.0	5	Male
146.0	70.0	4	Male
176.0	121.0	4	Female
146.0	101.0	5	Female
159.0	145.0	5	Male
162.0	157.0	5	Male
172.0	90.0	4	Female
169.0	121.0	5	Female
182.0	50.0	0	Male
183.0	79.0	2	Female
176.0	77.0	2	Male
188.0	128.0	4	Female
175.0	83.0	2	Female
154.0	81.0	4	Male
184.0	147.0	5	Female
179.0	123.0	4	Male
152.0	132.0	5	Male
179.0	56.0	1	Male
145.0	141.0	5	Female
181.0	80.0	2	Female
158.0	127.0	5	Male
188.0	99.0	3	Female
145.0	142.0	5	Male
161.0	115.0	5	Male
198.0	109.0	3	Male
147.0	142.0	5	Male
154.0	112.0	5	Male
178.0	65.0	2	Female
195.0	153.0	5	Male
167.0	79.0	3	Female
183.0	131.0	4	Male
164.0	142.0	5	Female
167.0	64.0	2	Male
151.0	55.0	2	Female
147.0	107.0	5	Female
155.0	115.0	5	Female
172.0	108.0	4	Female
142.0	86.0	5	Female
146.0	85.0	4	Male
188.0	115.0	4	Female
173.0	111.0	4	Male
160.0	109.0	5	Female
187.0	80.0	2	Male
198.0	136.0	4	Male
179.0	150.0	5	Female
164.0	59.0	2	Female
146.0	147.0	5	Female
198.0	50.0	0	Female
170.0	53.0	1	Female
152.0	98.0	5	Male
150.0	153.0	5	Female
184.0	121.0	4	Female
141.0	136.0	5	Female
150.0	95.0	5	Male
173.0	131.0	5	Male
