satisfaction_level	number_project	average_montly_hours	time_spend_company	salary	promotion_last_5years	left	Work_accident	last_evaluation	sales
0.11	6.0	306.0	4.0	low	0	1	0	0.89	technical
0.41	2.0	152.0	3.0	low	0	1	0	0.54	technical
0.87	5.0	269.0	5.0	low	0	1	0	0.88	technical
0.45	2.0	158.0	3.0	low	0	1	0	0.48	technical
0.4	2.0	127.0	3.0	low	0	1	0	0.46	technical
0.1	7.0	281.0	4.0	low	0	1	0	0.8	technical
0.09	6.0	276.0	4.0	low	0	1	0	0.89	technical
0.84	3.0	182.0	4.0	low	0	1	0	0.74	technical
0.4	2.0	147.0	3.0	low	0	1	0	0.55	support
0.57	3.0	273.0	6.0	low	0	1	0	0.7	support
0.4	2.0	148.0	3.0	low	0	1	0	0.54	support
0.43	2.0	147.0	3.0	low	0	1	0	0.47	support
0.13	6.0	152.0	2.0	low	0	1	0	0.78	support
0.44	2.0	135.0	3.0	low	0	1	0	0.55	support
0.38	2.0	134.0	3.0	low	0	1	0	0.55	support
0.39	2.0	132.0	3.0	low	0	1	0	0.54	support
0.1	7.0	307.0	4.0	low	0	1	0	0.92	support
0.37	2.0	140.0	3.0	low	0	1	0	0.46	support
0.11	7.0	255.0	4.0	low	0	1	0	0.94	support
0.1	6.0	309.0	4.0	low	0	1	0	0.81	technical
0.38	2.0	128.0	3.0	low	0	1	0	0.54	technical
0.85	4.0	225.0	5.0	low	0	1	0	1.0	technical
0.85	5.0	226.0	5.0	medium	0	1	0	0.91	management
0.11	7.0	308.0	4.0	medium	0	1	0	0.93	IT
0.1	6.0	244.0	5.0	medium	0	1	0	0.95	IT
0.36	2.0	132.0	3.0	medium	0	1	0	0.56	IT
0.11	6.0	286.0	4.0	medium	0	1	0	0.94	IT
0.81	6.0	161.0	4.0	medium	0	1	0	0.7	IT
0.43	2.0	153.0	3.0	medium	0	1	0	0.54	product_mng
0.9	4.0	264.0	6.0	medium	0	1	0	0.98	product_mng
0.76	5.0	223.0	5.0	medium	0	1	1	0.86	product_mng
0.43	2.0	135.0	3.0	medium	0	1	0	0.5	product_mng
0.74	2.0	277.0	3.0	medium	0	1	0	0.99	IT
0.09	5.0	275.0	4.0	medium	0	1	0	0.77	product_mng
0.45	2.0	149.0	3.0	high	0	1	0	0.49	product_mng
0.09	7.0	295.0	4.0	low	0	1	0	0.87	product_mng
0.11	6.0	277.0	4.0	medium	0	1	0	0.97	product_mng
0.11	7.0	306.0	4.0	medium	0	1	0	0.79	product_mng
0.1	6.0	295.0	4.0	medium	0	1	0	0.83	product_mng
0.4	2.0	137.0	3.0	medium	0	1	0	0.54	marketing
0.43	2.0	157.0	3.0	low	0	1	0	0.56	sales
0.39	2.0	142.0	3.0	low	0	1	0	0.56	accounting
0.45	2.0	140.0	3.0	low	0	1	0	0.54	support
0.38	2.0	151.0	3.0	low	0	1	0	0.49	technical
0.79	4.0	139.0	3.0	low	1	1	0	0.59	management
0.84	4.0	249.0	6.0	low	0	1	0	0.85	marketing
0.11	6.0	291.0	4.0	low	0	1	0	0.77	marketing
0.11	6.0	305.0	4.0	low	0	1	0	0.87	marketing
0.17	5.0	232.0	3.0	low	0	1	0	0.84	sales
0.44	2.0	132.0	3.0	low	0	1	0	0.45	sales
0.37	2.0	130.0	3.0	low	0	1	0	0.57	sales
0.1	6.0	291.0	4.0	low	0	1	0	0.79	sales
0.4	2.0	130.0	3.0	low	0	1	0	0.5	sales
0.89	5.0	246.0	5.0	low	0	1	0	1.0	sales
0.42	2.0	143.0	3.0	low	0	1	0	0.48	sales
0.46	2.0	129.0	3.0	low	0	1	0	0.55	sales
0.09	6.0	255.0	4.0	low	0	1	0	0.83	sales
0.37	2.0	155.0	3.0	low	0	1	0	0.51	sales
0.1	6.0	265.0	4.0	low	0	1	0	0.77	sales
0.1	6.0	279.0	4.0	low	0	1	0	0.84	sales
0.11	6.0	284.0	4.0	low	0	1	0	0.97	sales
0.9	5.0	221.0	6.0	medium	0	1	0	1.0	sales
0.38	2.0	154.0	3.0	medium	0	1	0	0.52	sales
0.36	2.0	147.0	3.0	medium	0	1	0	0.52	sales
0.42	2.0	150.0	3.0	medium	0	1	0	0.46	sales
0.09	7.0	267.0	4.0	medium	0	1	0	0.94	sales
0.43	2.0	158.0	3.0	medium	0	1	0	0.52	sales
0.24	7.0	224.0	5.0	medium	0	1	0	0.46	accounting
0.91	4.0	257.0	5.0	medium	0	1	0	1.0	accounting
0.44	2.0	148.0	3.0	medium	0	1	0	0.5	accounting
0.71	3.0	177.0	4.0	medium	0	1	0	0.87	hr
0.4	2.0	155.0	3.0	medium	0	1	0	0.49	hr
0.43	2.0	144.0	3.0	medium	0	1	0	0.47	hr
0.09	6.0	289.0	4.0	high	0	1	0	0.85	hr
0.43	2.0	160.0	3.0	low	0	1	0	0.52	technical
0.9	4.0	258.0	5.0	medium	0	1	0	0.96	technical
0.84	5.0	234.0	5.0	medium	0	1	0	1.0	technical
0.37	2.0	137.0	3.0	medium	0	1	0	0.48	technical
0.86	5.0	263.0	2.0	medium	0	1	0	0.68	technical
0.11	6.0	251.0	4.0	low	0	1	0	0.84	technical
0.37	2.0	133.0	3.0	low	0	1	0	0.57	technical
0.4	2.0	132.0	3.0	low	0	1	0	0.46	technical
0.14	4.0	158.0	4.0	low	0	1	1	0.62	technical
0.4	2.0	135.0	3.0	low	0	1	0	0.46	technical
0.75	4.0	216.0	6.0	low	0	1	0	1.0	technical
0.11	6.0	300.0	5.0	low	0	1	1	0.84	support
0.46	2.0	138.0	3.0	low	0	1	0	0.49	support
0.11	6.0	260.0	4.0	low	0	1	0	0.92	support
0.38	2.0	132.0	3.0	low	0	1	0	0.49	support
0.7	3.0	183.0	5.0	low	0	1	0	0.89	support
0.09	6.0	250.0	4.0	low	0	1	0	0.82	support
0.37	2.0	151.0	3.0	low	0	1	0	0.45	support
0.1	6.0	292.0	4.0	low	0	1	0	0.83	support
0.38	2.0	140.0	3.0	low	0	1	0	0.57	support
0.9	5.0	221.0	5.0	low	0	1	0	1.0	support
0.44	2.0	138.0	3.0	low	0	1	0	0.51	support
0.36	2.0	132.0	3.0	low	0	1	0	0.5	technical
0.31	7.0	133.0	5.0	low	0	1	0	0.84	technical
0.1	6.0	283.0	4.0	low	0	1	1	0.84	technical
0.42	2.0	129.0	3.0	low	0	1	0	0.48	management
0.74	4.0	249.0	5.0	low	0	1	0	1.0	IT
0.73	5.0	257.0	5.0	low	0	1	0	0.87	IT
0.09	6.0	245.0	4.0	low	0	1	0	0.96	IT
0.45	2.0	155.0	3.0	low	0	1	0	0.53	IT
0.11	6.0	256.0	4.0	low	0	1	0	0.8	IT
0.37	2.0	152.0	3.0	low	0	1	0	0.47	product_mng
0.84	4.0	267.0	5.0	low	0	1	0	0.99	product_mng
0.41	2.0	151.0	3.0	low	0	1	0	0.46	product_mng
0.76	4.0	239.0	5.0	low	0	1	0	0.92	product_mng
0.11	6.0	306.0	4.0	low	0	1	0	0.87	IT
0.84	4.0	263.0	5.0	low	0	1	1	0.88	marketing
0.39	2.0	147.0	3.0	low	0	1	0	0.5	marketing
0.11	6.0	278.0	4.0	low	0	1	0	0.91	marketing
0.45	2.0	154.0	3.0	low	0	1	0	0.56	marketing
0.37	2.0	143.0	3.0	low	0	1	0	0.52	marketing
0.4	2.0	155.0	3.0	low	0	1	0	0.52	marketing
0.39	2.0	160.0	3.0	low	0	1	0	0.48	sales
0.11	6.0	304.0	4.0	low	0	1	0	0.8	accounting
0.83	5.0	240.0	5.0	low	0	1	0	1.0	support
0.11	6.0	305.0	4.0	low	0	1	0	0.92	technical
0.39	2.0	136.0	3.0	low	0	1	0	0.5	management
0.45	2.0	132.0	3.0	low	0	1	0	0.45	marketing
0.1	7.0	301.0	4.0	low	0	1	0	0.95	marketing
0.9	5.0	243.0	6.0	low	0	1	0	0.98	marketing
0.45	2.0	147.0	3.0	low	0	1	0	0.51	sales
0.79	5.0	239.0	5.0	low	0	1	0	0.89	sales
0.9	5.0	260.0	5.0	low	0	1	0	0.99	sales
0.11	7.0	296.0	4.0	low	0	1	0	0.84	sales
0.43	2.0	129.0	3.0	low	0	1	0	0.55	sales
0.31	5.0	132.0	5.0	low	0	1	0	0.54	sales
0.32	2.0	135.0	5.0	low	0	1	0	0.5	sales
0.45	2.0	158.0	3.0	low	0	1	0	0.57	sales
0.81	4.0	259.0	5.0	low	0	1	0	0.99	sales
0.41	2.0	160.0	3.0	low	1	1	0	0.46	sales
0.11	7.0	278.0	4.0	low	0	1	0	0.78	sales
0.1	6.0	284.0	4.0	low	0	1	0	0.88	sales
0.7	2.0	274.0	4.0	low	0	1	0	0.53	sales
0.54	4.0	164.0	2.0	low	0	1	0	0.74	sales
0.41	2.0	148.0	3.0	low	0	1	0	0.48	sales
0.38	2.0	140.0	3.0	medium	0	1	0	0.5	sales
0.37	2.0	127.0	3.0	medium	0	1	0	0.51	sales
0.11	6.0	308.0	5.0	medium	0	1	0	0.85	sales
0.4	2.0	146.0	3.0	medium	0	1	0	0.47	sales
0.1	6.0	261.0	4.0	medium	0	1	0	0.84	accounting
0.89	5.0	257.0	5.0	medium	0	1	0	0.99	accounting
0.11	6.0	285.0	4.0	medium	0	1	0	0.8	accounting
0.36	2.0	141.0	3.0	medium	0	1	0	0.55	hr
0.4	2.0	127.0	3.0	medium	0	1	0	0.46	hr
0.09	6.0	297.0	4.0	medium	0	1	0	0.85	hr
0.4	2.0	143.0	3.0	medium	0	1	0	0.46	hr
0.37	2.0	152.0	3.0	medium	0	1	0	0.55	technical
0.44	2.0	156.0	3.0	high	0	1	0	0.51	technical
0.09	7.0	283.0	5.0	low	0	1	0	0.8	technical
0.92	4.0	226.0	6.0	medium	0	1	1	0.87	technical
0.74	4.0	232.0	5.0	medium	0	1	0	0.91	technical
0.09	6.0	249.0	4.0	medium	0	1	0	0.82	technical
0.89	4.0	275.0	5.0	medium	0	1	0	0.95	technical
0.09	6.0	304.0	4.0	low	0	1	0	0.8	technical
0.27	7.0	278.0	3.0	low	0	1	0	0.54	technical
0.1	6.0	287.0	4.0	low	0	1	0	0.91	technical
0.1	7.0	285.0	4.0	low	0	1	0	0.89	technical
0.77	5.0	226.0	6.0	low	0	1	0	0.94	support
0.9	5.0	259.0	5.0	low	0	1	0	0.82	support
0.39	2.0	135.0	3.0	low	0	1	0	0.5	support
0.76	5.0	219.0	5.0	low	0	1	0	1.0	support
0.1	6.0	256.0	4.0	low	0	1	0	0.93	support
0.87	5.0	254.0	6.0	low	0	1	0	0.9	support
0.38	2.0	153.0	3.0	low	0	1	0	0.5	support
0.77	5.0	228.0	5.0	low	0	1	0	0.99	support
0.78	4.0	228.0	5.0	low	0	1	0	0.87	support
0.44	2.0	128.0	3.0	low	0	1	0	0.5	support
0.38	2.0	153.0	3.0	low	0	1	0	0.52	support
0.43	2.0	156.0	3.0	low	0	1	0	0.46	technical
0.39	4.0	294.0	3.0	low	0	1	0	0.5	technical
0.88	5.0	219.0	5.0	low	0	1	0	1.0	technical
0.45	2.0	153.0	3.0	low	0	1	0	0.46	management
0.4	2.0	151.0	3.0	low	0	1	0	0.53	IT
0.36	2.0	155.0	3.0	low	0	1	0	0.51	IT
0.36	2.0	158.0	3.0	low	0	1	0	0.48	IT
0.9	5.0	245.0	5.0	low	0	1	0	0.98	IT
0.43	2.0	131.0	3.0	low	0	1	0	0.53	IT
0.89	5.0	225.0	5.0	low	0	1	0	0.87	product_mng
0.1	6.0	286.0	4.0	low	0	1	0	0.84	product_mng
0.37	2.0	135.0	3.0	low	0	1	0	0.5	product_mng
0.37	2.0	153.0	3.0	low	0	1	0	0.51	product_mng
0.87	5.0	252.0	5.0	low	0	1	0	0.9	IT
0.4	2.0	149.0	3.0	low	0	1	0	0.56	accounting
0.9	4.0	258.0	5.0	low	0	1	0	0.97	accounting
0.37	2.0	158.0	3.0	low	0	1	0	0.46	hr
0.44	2.0	149.0	3.0	low	0	1	0	0.54	hr
0.85	5.0	236.0	5.0	low	0	1	0	0.95	hr
0.78	5.0	239.0	6.0	low	0	1	0	0.98	marketing
0.42	2.0	159.0	3.0	low	0	1	0	0.47	marketing
0.92	5.0	255.0	6.0	low	0	1	0	0.99	sales
0.11	6.0	244.0	4.0	low	0	1	0	0.83	accounting
0.42	2.0	134.0	3.0	low	0	1	0	0.56	support
0.48	4.0	270.0	4.0	low	0	1	0	0.57	technical
0.83	4.0	255.0	5.0	low	0	1	0	0.85	management
0.4	2.0	151.0	3.0	low	0	1	0	0.53	marketing
0.43	2.0	135.0	3.0	low	0	1	0	0.45	marketing
0.43	2.0	146.0	3.0	low	0	1	0	0.53	marketing
0.1	7.0	254.0	4.0	low	0	1	0	0.97	sales
0.1	7.0	289.0	4.0	low	0	1	0	0.87	sales
0.37	2.0	156.0	3.0	low	0	1	0	0.46	sales
0.38	2.0	156.0	3.0	low	0	1	0	0.53	sales
0.4	2.0	128.0	3.0	low	0	1	0	0.5	sales
0.89	5.0	275.0	5.0	low	0	1	0	0.86	sales
0.45	2.0	155.0	3.0	low	0	1	0	0.46	sales
0.37	2.0	159.0	3.0	low	0	1	0	0.48	sales
0.46	2.0	148.0	3.0	low	0	1	0	0.49	sales
0.87	4.0	228.0	5.0	low	0	1	0	0.91	sales
0.11	6.0	298.0	4.0	low	0	1	0	0.84	sales
0.79	5.0	261.0	5.0	low	0	1	0	0.87	sales
0.79	5.0	254.0	6.0	low	0	1	0	0.92	sales
0.19	7.0	192.0	3.0	low	0	1	0	0.59	sales
0.87	4.0	248.0	5.0	low	0	1	0	0.98	sales
0.6	2.0	258.0	5.0	low	0	1	0	0.92	sales
0.44	2.0	156.0	3.0	medium	0	1	0	0.45	sales
0.11	6.0	266.0	4.0	medium	0	1	1	0.81	sales
0.42	2.0	156.0	3.0	medium	0	1	0	0.54	sales
0.88	5.0	232.0	5.0	medium	0	1	1	0.88	accounting
0.11	6.0	287.0	4.0	medium	0	1	0	0.84	accounting
0.46	2.0	154.0	3.0	medium	0	1	0	0.46	accounting
0.82	5.0	263.0	5.0	medium	0	1	0	0.97	hr
0.44	2.0	131.0	3.0	medium	0	1	0	0.56	hr
0.11	6.0	260.0	4.0	medium	0	1	0	0.78	hr
0.42	2.0	139.0	3.0	medium	0	1	0	0.5	hr
0.84	4.0	251.0	5.0	medium	0	1	0	0.93	technical
0.11	6.0	286.0	4.0	medium	0	1	0	0.95	technical
0.45	2.0	129.0	3.0	high	0	1	0	0.53	technical
0.38	2.0	156.0	3.0	low	0	1	0	0.56	technical
0.38	6.0	139.0	6.0	medium	0	1	0	0.86	technical
0.44	2.0	127.0	3.0	medium	0	1	0	0.51	technical
0.11	6.0	251.0	4.0	medium	0	1	0	0.84	technical
0.81	5.0	270.0	5.0	medium	0	1	0	0.93	technical
0.09	6.0	296.0	4.0	low	0	1	0	0.96	technical
0.11	6.0	254.0	4.0	low	0	1	0	0.9	technical
0.81	5.0	238.0	6.0	low	0	1	0	0.95	technical
0.1	6.0	267.0	4.0	low	0	1	1	0.97	support
0.74	5.0	229.0	6.0	low	0	1	0	0.89	support
0.09	6.0	254.0	4.0	low	0	1	0	0.78	support
0.82	4.0	233.0	4.0	low	0	1	1	0.81	support
0.1	6.0	268.0	4.0	low	0	1	0	0.98	support
0.27	3.0	301.0	3.0	low	0	1	0	0.56	support
0.83	5.0	267.0	6.0	low	0	1	0	0.92	support
0.1	6.0	289.0	4.0	low	0	1	1	0.93	support
0.38	2.0	144.0	3.0	low	0	1	0	0.47	support
0.4	2.0	148.0	3.0	low	0	1	0	0.56	support
0.11	6.0	306.0	4.0	low	0	1	0	0.83	support
0.11	6.0	292.0	4.0	low	1	1	0	0.79	technical
0.82	5.0	232.0	5.0	low	0	1	0	0.91	technical
0.36	2.0	137.0	3.0	low	0	1	0	0.48	technical
0.4	2.0	128.0	3.0	low	0	1	0	0.46	management
0.87	5.0	231.0	5.0	low	0	1	0	0.84	IT
0.41	2.0	146.0	3.0	low	0	1	0	0.49	IT
0.11	6.0	308.0	4.0	low	0	1	1	0.91	IT
0.1	6.0	253.0	4.0	medium	0	1	0	0.93	IT
0.38	2.0	146.0	3.0	medium	0	1	0	0.51	IT
0.39	2.0	156.0	3.0	medium	0	1	0	0.55	product_mng
0.4	2.0	147.0	3.0	medium	0	1	0	0.52	product_mng
0.45	2.0	136.0	3.0	medium	0	1	0	0.48	product_mng
0.74	5.0	249.0	5.0	medium	0	1	0	0.84	product_mng
0.45	2.0	151.0	3.0	medium	0	1	0	0.55	IT
0.12	3.0	278.0	4.0	medium	0	1	0	1.0	RandD
0.1	7.0	250.0	5.0	medium	0	1	0	0.77	RandD
0.37	2.0	127.0	3.0	medium	0	1	0	0.55	RandD
0.89	5.0	255.0	5.0	medium	0	1	0	0.87	RandD
0.45	2.0	135.0	3.0	medium	0	1	0	0.47	RandD
0.37	2.0	149.0	3.0	high	0	1	0	0.46	marketing
0.11	5.0	287.0	4.0	low	0	1	0	0.81	sales
0.41	2.0	145.0	3.0	medium	0	1	0	0.48	accounting
0.1	6.0	285.0	4.0	medium	0	1	0	0.94	support
0.1	7.0	305.0	4.0	medium	0	1	0	0.93	technical
0.11	7.0	300.0	4.0	medium	0	1	0	0.95	management
0.4	2.0	139.0	3.0	low	0	1	0	0.54	marketing
0.41	2.0	130.0	3.0	low	0	1	0	0.49	marketing
0.1	6.0	268.0	4.0	low	0	1	0	0.81	marketing
0.73	4.0	245.0	6.0	low	0	1	0	0.86	sales
0.43	2.0	135.0	3.0	low	0	1	0	0.47	sales
0.37	2.0	153.0	3.0	low	0	1	0	0.46	sales
0.11	6.0	276.0	4.0	low	0	1	0	0.94	sales
0.4	2.0	130.0	3.0	low	0	1	0	0.46	sales
0.41	2.0	153.0	3.0	low	0	1	1	0.54	sales
0.82	5.0	244.0	5.0	low	0	1	0	0.84	sales
0.61	2.0	253.0	3.0	low	0	1	0	0.47	sales
0.11	7.0	287.0	4.0	low	0	1	0	0.91	sales
0.37	2.0	131.0	3.0	low	0	1	0	0.45	sales
0.41	2.0	135.0	3.0	low	0	1	0	0.52	sales
0.37	2.0	157.0	3.0	low	0	1	0	0.52	sales
0.88	5.0	262.0	6.0	low	0	1	0	0.99	sales
0.1	6.0	266.0	4.0	low	0	1	0	0.85	sales
0.44	2.0	148.0	3.0	low	0	1	0	0.48	sales
0.38	2.0	140.0	3.0	low	0	1	0	0.57	sales
0.11	7.0	302.0	4.0	low	0	1	0	0.85	sales
0.09	6.0	271.0	4.0	low	0	1	0	0.98	sales
0.45	2.0	145.0	3.0	medium	0	1	0	0.52	sales
0.1	6.0	290.0	4.0	medium	0	1	0	0.81	accounting
0.45	2.0	151.0	3.0	medium	0	1	0	0.47	accounting
0.77	5.0	266.0	5.0	medium	0	1	0	0.87	accounting
0.44	2.0	140.0	3.0	medium	0	1	0	0.51	hr
0.39	2.0	142.0	3.0	medium	0	1	0	0.5	hr
0.1	6.0	246.0	4.0	medium	0	1	0	0.91	hr
0.09	7.0	308.0	5.0	medium	0	1	0	0.89	hr
0.37	2.0	141.0	3.0	medium	0	1	0	0.47	technical
0.9	5.0	232.0	5.0	medium	0	1	0	1.0	technical
0.41	2.0	143.0	3.0	medium	0	1	0	0.56	technical
0.37	2.0	155.0	3.0	medium	0	1	0	0.52	technical
0.1	6.0	278.0	4.0	high	0	1	0	0.86	technical
0.81	4.0	253.0	5.0	low	0	1	0	1.0	technical
0.11	6.0	282.0	4.0	medium	0	1	0	0.8	technical
0.11	7.0	264.0	4.0	medium	0	1	0	0.84	technical
0.4	2.0	149.0	3.0	medium	0	1	0	0.46	technical
0.09	6.0	304.0	5.0	medium	0	1	0	0.8	technical
0.48	3.0	219.0	6.0	low	0	1	0	0.93	technical
0.91	4.0	262.0	6.0	low	0	1	0	0.91	support
0.43	2.0	135.0	3.0	low	0	1	0	0.57	support
0.33	6.0	219.0	5.0	low	0	1	0	0.88	support
0.41	2.0	136.0	3.0	low	0	1	0	0.57	support
0.41	2.0	154.0	3.0	low	0	1	0	0.55	support
0.37	2.0	149.0	3.0	low	0	1	0	0.54	support
0.31	6.0	135.0	5.0	low	0	1	0	0.62	support
0.09	6.0	275.0	4.0	low	0	1	0	0.91	support
0.1	6.0	290.0	4.0	low	0	1	0	0.87	support
0.76	4.0	263.0	5.0	low	0	1	0	0.9	support
0.41	2.0	145.0	3.0	low	0	1	0	0.54	support
0.72	5.0	267.0	5.0	low	0	1	0	0.96	technical
0.4	2.0	141.0	3.0	low	0	1	1	0.5	technical
0.91	4.0	235.0	5.0	low	0	1	0	0.87	technical
0.1	6.0	258.0	4.0	low	0	1	0	0.83	management
0.4	2.0	131.0	3.0	low	0	1	0	0.56	IT
0.82	5.0	243.0	5.0	low	0	1	0	0.86	IT
0.1	6.0	266.0	4.0	low	0	1	0	0.82	IT
0.37	2.0	142.0	3.0	low	0	1	0	0.45	IT
0.36	2.0	135.0	3.0	low	0	1	0	0.51	IT
0.39	2.0	141.0	3.0	medium	0	1	0	0.48	product_mng
0.36	2.0	142.0	3.0	medium	0	1	0	0.57	product_mng
0.86	5.0	254.0	5.0	medium	0	1	0	0.84	product_mng
0.73	5.0	262.0	5.0	medium	0	1	0	0.99	product_mng
0.56	4.0	296.0	2.0	medium	0	1	0	0.71	IT
0.44	2.0	158.0	3.0	medium	0	1	0	0.56	accounting
0.31	4.0	238.0	2.0	medium	0	1	0	0.56	accounting
0.77	4.0	231.0	5.0	medium	0	1	0	0.93	hr
0.44	2.0	156.0	3.0	medium	0	1	0	0.45	hr
0.38	2.0	145.0	3.0	medium	0	1	0	0.46	hr
0.45	2.0	144.0	3.0	medium	0	1	0	0.48	marketing
0.38	2.0	159.0	3.0	medium	0	1	0	0.51	sales
0.36	2.0	156.0	3.0	high	0	1	0	0.48	accounting
0.75	5.0	256.0	5.0	low	0	1	0	0.9	support
0.1	6.0	298.0	4.0	medium	0	1	0	0.93	technical
0.1	6.0	247.0	4.0	medium	0	1	0	0.97	management
0.45	2.0	157.0	3.0	medium	0	1	0	0.5	marketing
0.42	2.0	154.0	3.0	medium	0	1	1	0.57	marketing
0.78	4.0	253.0	5.0	low	0	1	0	1.0	marketing
0.45	2.0	148.0	3.0	low	0	1	0	0.55	sales
0.84	4.0	261.0	5.0	low	0	1	0	1.0	sales
0.11	6.0	282.0	4.0	low	0	1	0	0.93	sales
0.42	2.0	133.0	3.0	low	0	1	0	0.56	sales
0.45	2.0	128.0	3.0	low	0	1	0	0.46	sales
0.46	2.0	139.0	3.0	low	0	1	0	0.57	sales
0.09	6.0	293.0	5.0	low	0	1	0	0.79	sales
0.87	4.0	265.0	6.0	low	0	1	0	0.83	sales
0.1	6.0	250.0	4.0	low	0	1	0	0.87	sales
0.91	5.0	251.0	6.0	low	0	1	0	1.0	sales
0.76	4.0	246.0	5.0	low	0	1	0	0.92	sales
0.74	5.0	275.0	5.0	low	0	1	0	1.0	sales
0.92	5.0	240.0	5.0	low	0	1	0	0.93	sales
0.76	5.0	245.0	5.0	low	0	1	0	0.87	sales
0.47	4.0	254.0	4.0	low	0	1	0	0.5	sales
0.73	5.0	241.0	5.0	low	0	1	0	0.99	sales
0.09	6.0	257.0	4.0	low	0	1	0	0.94	sales
0.91	4.0	246.0	5.0	low	0	1	0	0.92	sales
0.82	4.0	233.0	5.0	low	0	1	0	0.98	sales
0.28	6.0	218.0	4.0	low	0	1	0	0.45	accounting
0.84	4.0	262.0	6.0	medium	0	1	0	0.99	accounting
0.45	2.0	138.0	3.0	medium	0	1	0	0.53	accounting
0.45	2.0	142.0	3.0	medium	0	1	0	0.54	hr
0.91	5.0	233.0	5.0	medium	0	1	0	0.97	hr
0.42	2.0	155.0	3.0	medium	0	1	0	0.48	hr
0.82	4.0	229.0	6.0	medium	0	1	0	1.0	hr
0.11	6.0	264.0	4.0	medium	0	1	0	0.9	technical
0.42	3.0	199.0	4.0	medium	0	1	0	0.53	technical
0.82	4.0	223.0	5.0	medium	0	1	0	0.85	technical
0.09	6.0	268.0	4.0	medium	0	1	0	0.96	technical
0.1	6.0	287.0	4.0	medium	0	1	0	0.94	technical
0.86	5.0	257.0	5.0	medium	0	1	0	1.0	technical
0.4	2.0	143.0	3.0	high	0	1	0	0.46	technical
0.45	2.0	130.0	3.0	low	0	1	0	0.46	technical
0.42	2.0	136.0	3.0	medium	0	1	0	0.51	technical
0.74	4.0	261.0	5.0	medium	0	1	0	0.92	technical
0.55	3.0	180.0	4.0	medium	0	1	0	0.6	technical
0.37	2.0	126.0	3.0	medium	0	1	0	0.45	support
0.41	2.0	127.0	3.0	low	0	1	1	0.52	support
0.89	5.0	195.0	6.0	low	0	1	0	0.65	support
0.41	2.0	160.0	3.0	low	0	1	0	0.57	support
0.44	2.0	150.0	3.0	low	0	1	0	0.51	support
0.87	4.0	264.0	6.0	low	0	1	0	0.84	support
0.1	6.0	309.0	4.0	low	0	1	0	0.84	support
0.41	2.0	135.0	3.0	low	0	1	0	0.47	support
0.11	6.0	261.0	4.0	low	0	1	0	0.85	support
0.43	2.0	160.0	3.0	low	0	1	0	0.53	support
0.77	4.0	237.0	5.0	low	0	1	0	0.9	support
0.41	2.0	136.0	3.0	low	0	1	0	0.52	technical
0.41	2.0	139.0	3.0	low	0	1	0	0.48	technical
