RIVER	ERECTED	LENGTH	LANES	CLEAR-G	T-OR-D	SPAN	REL-L	PURPOSE	TYPE	MATERIAL
A	1897.0	4000.0	2.0	G	DECK	LONG	F	RR	SIMPLE-T	STEEL
M	1897.0	2264.0	2.630434782608696	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
M	1898.0	2000.0	2.0	G	THROUGH	MEDIUM	S	RR	SIMPLE-T	STEEL
A	1900.0	1200.0	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
A	1900.0	2000.0	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
M	1901.0	1567.469135802469	2.0	G	THROUGH	LONG	F	RR	SIMPLE-T	STEEL
A	1902.0	1850.0	2.0	G	THROUGH	MEDIUM	F	HIGHWAY	CANTILEV	STEEL
M	1903.0	1300.0	2.0	G	THROUGH	MEDIUM	S	RR	SIMPLE-T	STEEL
A	1903.0	3000.0	2.0	G	THROUGH	MEDIUM	S	RR	SIMPLE-T	STEEL
M	1903.0	1417.0	2.0	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
M	1903.0	1154.0	2.630434782608696	G	THROUGH	LONG	F	RR	SIMPLE-T	STEEL
M	1904.0	1200.0	2.0	G	THROUGH	MEDIUM	S-F	RR	SIMPLE-T	STEEL
A	1904.0	965.0	4.0	G	THROUGH	MEDIUM	S-F	RR	SIMPLE-T	STEEL
M	1904.0	1504.0	2.630434782608696	G	THROUGH	LONG	F	RR	CANTILEV	STEEL
Y	1908.0	1240.0	2.630434782608696	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
M	1909.0	1567.469135802469	2.630434782608696	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
A	1909.0	1730.0	2.0	G	THROUGH	LONG	F	HIGHWAY	SIMPLE-T	STEEL
O	1910.0	1620.0	2.0	G	THROUGH	LONG	F	RR	CANTILEV	STEEL
O	1911.0	1652.0	2.0	G	THROUGH	LONG	F	HIGHWAY	CANTILEV	STEEL
A	1914.0	1567.469135802469	2.630434782608696	G	THROUGH	MEDIUM	F	RR	NIL	STEEL
M	1914.0	2210.0	2.630434782608696	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
O	1915.0	2822.0	2.0	G	THROUGH	LONG	F	RR	SIMPLE-T	STEEL
A	1915.0	1000.0	4.0	G	THROUGH	LONG	F	HIGHWAY	SIMPLE-T	STEEL
A	1918.0	2300.0	2.0	N	DECK	LONG	F	RR	CONT-T	STEEL
A	1920.0	2122.0	2.0	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
A	1921.0	1567.469135802469	2.630434782608696	G	THROUGH	MEDIUM	F	WALK	SUSPEN	STEEL
A	1923.0	885.0	4.0	G	THROUGH	MEDIUM	F	HIGHWAY	ARCH	STEEL
A	1924.0	2365.0	4.0	G	THROUGH	MEDIUM	S	HIGHWAY	ARCH	STEEL
A	1926.0	860.0	4.0	G	THROUGH	MEDIUM	S-F	HIGHWAY	SUSPEN	STEEL
A	1926.0	884.0	4.0	G	THROUGH	MEDIUM	S-F	HIGHWAY	SUSPEN	STEEL
O	1927.0	1770.0	2.0	G	THROUGH	LONG	S-F	HIGHWAY	CANTILEV	STEEL
A	1927.0	1508.0	2.630434782608696	G	THROUGH	MEDIUM	S	HIGHWAY	ARCH	STEEL
M	1927.0	2663.0	4.0	N	DECK	MEDIUM	S-F	HIGHWAY	CANTILEV	STEEL
M	1927.0	1330.0	4.0	G	THROUGH	LONG	F	HIGHWAY	CANTILEV	STEEL
A	1928.0	2678.0	4.0	G	DECK	MEDIUM	F	HIGHWAY	ARCH	STEEL
M	1928.0	2220.0	2.0	G	DECK	MEDIUM	S-F	HIGHWAY	CANTILEV	STEEL
A	1928.0	860.0	4.0	G	THROUGH	MEDIUM	S-F	HIGHWAY	SUSPEN	STEEL
M	1928.0	2250.0	2.0	G	THROUGH	MEDIUM	S	HIGHWAY	SIMPLE-T	STEEL
O	1931.0	1365.0	4.0	G	THROUGH	LONG	F	HIGHWAY	ARCH	STEEL
O	1931.0	1450.0	4.0	N	THROUGH	LONG	F	HIGHWAY	ARCH	STEEL
M	1931.0	1500.0	4.0	G	THROUGH	LONG	F	HIGHWAY	SUSPEN	STEEL
M	1937.0	1690.0	4.0	N	DECK	LONG	S-F	HIGHWAY	CONT-T	STEEL
A	1939.0	1800.0	4.0	G	DECK	MEDIUM	F	HIGHWAY	CANTILEV	STEEL
A	1945.0	1060.0	4.0	G	DECK	MEDIUM	S-F	HIGHWAY	CONT-T	STEEL
A	1945.0	840.0	2.0	G	THROUGH	MEDIUM	S-F	RR	SIMPLE-T	STEEL
A	1945.0	1710.0	2.0	N	DECK	MEDIUM	S-F	HIGHWAY	CONT-T	STEEL
O	1945.0	2160.0	2.0	G	THROUGH	LONG	F	HIGHWAY	CANTILEV	STEEL
Y	1945.0	1567.469135802469	2.630434782608696	G	THROUGH	MEDIUM	S	HIGHWAY	ARCH	STEEL
Y	1945.0	1567.469135802469	2.630434782608696	G	THROUGH	MEDIUM	F	RR	SIMPLE-T	STEEL
M	1950.0	1320.0	2.0	G	THROUGH	MEDIUM	S-F	HIGHWAY	SIMPLE-T	STEEL
M	1951.0	900.0	4.0	G	THROUGH	MEDIUM	F	HIGHWAY	CONT-T	STEEL
M	1951.0	2423.0	4.0	G	DECK	LONG	F	HIGHWAY	CONT-T	STEEL
M	1951.0	1031.0	4.0	G	THROUGH	LONG	F	HIGHWAY	CANTILEV	STEEL
A	1955.0	2300.0	4.0	N	DECK	LONG	F	HIGHWAY	CONT-T	STEEL
O	1955.0	804.0	2.630434782608696	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
O	1959.0	1700.0	2.0	G	THROUGH	LONG	F	HIGHWAY	CONT-T	STEEL
M	1959.0	1000.0	6.0	G	THROUGH	LONG	F	HIGHWAY	ARCH	STEEL
A	1961.0	980.0	4.0	G	DECK	MEDIUM	S-F	HIGHWAY	CONT-T	STEEL
M	1962.0	2213.0	4.0	G	DECK	LONG	F	HIGHWAY	CONT-T	STEEL
A	1969.0	870.0	6.0	G	THROUGH	MEDIUM	F	HIGHWAY	ARCH	STEEL
O	1975.0	3756.0	6.0	G	THROUGH	LONG	F	HIGHWAY	ARCH	STEEL
M	1978.0	950.0	6.0	G	THROUGH	LONG	F	HIGHWAY	ARCH	STEEL
O	1982.0	1567.469135802469	2.630434782608696	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
A	1986.0	1567.469135802469	2.630434782608696	G	THROUGH	MEDIUM	F	HIGHWAY	SIMPLE-T	STEEL
