Mileage,EngineV,Registration,Year,Price,Body,Engine Type,Brand,Model
182.0,1.9,no,1998.0,2350.0,hatch,Diesel,Volkswagen,Golf IV
88.0,2.79073420738975,yes,2012.0,23999.0,sedan,Other,Volkswagen,Passat CC
5.0,0.65,yes,2015.0,38888.0,vagon,Other,BMW,I3
126.0,2.79073420738975,yes,2004.0,7300.0,hatch,Other,Mitsubishi,Colt
0.0,4.5,yes,2016.0,99999.0,crossover,Diesel,Toyota,Land Cruiser 200
110.0,1.8,yes,2012.0,17650.0,sedan,Petrol,Volkswagen,Passat B7
237.0,2.5,yes,2005.0,12999.0,van,Diesel,Volkswagen,Multivan
90.0,1.8,yes,2008.0,18500.0,other,Petrol,Mercedes-Benz,C-Class
195.0,2.0,yes,2006.0,9200.0,sedan,Petrol,Volkswagen,Passat B6
1.0,1.6,yes,2016.0,14500.0,sedan,Other,Volkswagen,Polo
18.0,1.6,yes,2011.0,18000.0,vagon,Diesel,Volkswagen,Passat B7
250.0,1.7,yes,2003.0,6800.0,van,Diesel,Mercedes-Benz,Vaneo
73.0,2.0,yes,2011.0,20500.0,crossover,Petrol,BMW,X1
100.0,5.0,yes,2005.0,28000.0,other,Petrol,BMW,M5
130.0,2.0,yes,2011.0,10650.0,van,Diesel,Volkswagen,T5 (Transporter)
30.0,1.4,yes,2013.0,20300.0,other,Petrol,Volkswagen,Scirocco
267.0,1.9,no,1999.0,3000.0,vagon,Diesel,Volkswagen,Passat B5
112.0,4.5,yes,2007.0,25250.0,crossover,Gas,Toyota,Land Cruiser 100
245.0,1.3,no,1996.0,1389.0,hatch,Petrol,Mitsubishi,Colt
174.0,4.0,yes,2005.0,17600.0,sedan,Diesel,Mercedes-Benz,S 400
180.0,2.2,yes,2007.0,14200.0,van,Diesel,Mercedes-Benz,Vito
270.0,4.6,yes,2004.0,13700.0,crossover,Gas,BMW,X5
187.0,5.5,yes,2007.0,23900.0,sedan,Petrol,Mercedes-Benz,S 550
267.0,2.79073420738975,no,2000.0,3700.0,crossover,Diesel,Volkswagen,Golf IV
144.0,3.6,yes,2013.0,32000.0,sedan,Petrol,Volkswagen,Passat CC
267.0,2.0,yes,1991.0,4599.0,sedan,Gas,BMW,520
300.0,1.9,no,1998.0,2350.0,sedan,Diesel,Volkswagen,Passat B5
160.0,2.0,yes,2010.0,19999.0,vagon,Petrol,Audi,A4 Allroad
78.0,2.0,yes,2012.0,28900.0,sedan,Petrol,BMW,528
300.0,2.8,yes,1996.0,3800.0,sedan,Gas,Volkswagen,Passat B4
350.0,2.79073420738975,yes,2000.0,4649.0,vagon,Diesel,Audi,A6
300.0,1.3,yes,1989.0,1800.0,other,Petrol,Volkswagen,Golf II
1.0,4.5,yes,2011.0,135000.0,crossover,Diesel,Toyota,Land Cruiser 200
201.0,2.0,yes,2007.0,9700.0,sedan,Petrol,Volkswagen,Passat B6
1.0,2.5,yes,2016.0,25342.2,other,Diesel,Mitsubishi,L 200
1.0,1.6,yes,2016.0,24900.0,sedan,Diesel,Volkswagen,Jetta
140.0,1.4,yes,2011.0,4999.0,sedan,Petrol,Renault,Logan
142.0,2.5,yes,2007.0,19418.746935058713,other,Diesel,Volkswagen,Multivan
390.0,2.5,yes,1991.0,4700.0,sedan,Petrol,BMW,525
1.0,2.8,yes,1997.0,4999.0,sedan,Petrol,Mercedes-Benz,E-Class
350.0,2.7,yes,2000.0,9299.0,sedan,Diesel,Mercedes-Benz,E-Class
130.0,5.5,yes,2007.0,25000.0,sedan,Petrol,Mercedes-Benz,S 550
148.0,3.0,yes,2008.0,12900.0,crossover,Gas,Mitsubishi,Pajero Sport
189.0,2.5,yes,2003.0,9700.0,vagon,Diesel,Audi,A6
64.0,2.0,yes,2014.0,10100.0,van,Diesel,Renault,Trafic
296.0,3.0,no,2001.0,2800.0,sedan,Diesel,BMW,730
350.0,2.9,yes,2000.0,13500.0,van,Diesel,Mercedes-Benz,Sprinter 312
125.0,1.8,yes,2009.0,8900.0,hatch,Petrol,Mitsubishi,Lancer X Sportback
0.0,3.0,yes,2016.0,109999.0,crossover,Diesel,Mercedes-Benz,GLS 350
180.0,3.2,yes,2004.0,11500.0,sedan,Gas,Mercedes-Benz,E-Class
82.0,3.0,yes,2010.0,36900.0,crossover,Petrol,BMW,X6
150.0,4.0,yes,2010.0,33200.0,crossover,Gas,Toyota,Land Cruiser Prado
253.0,2.5,yes,2008.0,10200.0,van,Diesel,Volkswagen,T5 (Transporter)
0.0,1.6,yes,2016.0,16999.0,sedan,Petrol,Volkswagen,Jetta
179.0,3.0,yes,2005.0,10800.0,sedan,Gas,Toyota,Camry
99.0,2.99,yes,2011.0,35500.0,other,Diesel,Mercedes-Benz,E-Class
156.0,1.6,yes,2007.0,9900.0,hatch,Petrol,Volkswagen,Golf Plus
91.0,1.5,yes,2008.0,7900.0,vagon,Diesel,Renault,Scenic
216.0,2.2,yes,2007.0,13900.0,sedan,Diesel,Mercedes-Benz,E-Class
102.0,1.8,yes,2011.0,20000.0,sedan,Petrol,Volkswagen,Passat CC
38.0,2.2,yes,2015.0,28500.0,crossover,Diesel,Toyota,Rav 4
178.0,1.6,yes,2007.0,7200.0,sedan,Petrol,Mitsubishi,Lancer
200.0,2.0,yes,2006.0,9000.0,crossover,Gas,Mitsubishi,Outlander
115.0,3.0,yes,2010.0,36500.0,crossover,Diesel,Audi,Q7
41.0,1.0,yes,2012.0,8000.0,hatch,Petrol,Volkswagen,Up
11.0,1.8,yes,2015.0,43000.0,other,Petrol,Audi,A6
48.0,1.4,yes,2013.0,13700.0,sedan,Diesel,Toyota,Corolla
165.0,1.8,yes,2006.0,7899.0,sedan,Gas,Toyota,Avensis
180.0,2.0,yes,2012.0,13999.0,van,Diesel,Renault,Trafic
176.0,1.6,yes,2012.0,10500.0,van,Diesel,Volkswagen,Caddy
100.0,99.99,yes,2007.0,5500.0,sedan,Petrol,Mercedes-Benz,S 550
160.0,2.0,yes,2012.0,20800.0,other,Diesel,Volkswagen,Amarok
488.0,2.0,yes,1991.0,2500.0,sedan,Petrol,Volkswagen,Passat B3
176.0,3.2,yes,2003.0,32000.0,crossover,Gas,Mercedes-Benz,G 320
220.0,5.0,yes,2004.0,14500.0,sedan,Petrol,Mercedes-Benz,S 500
20.0,1.6,yes,2014.0,16900.0,hatch,Petrol,Toyota,Auris
172.0,2.2,yes,2013.0,13600.0,van,Diesel,Mercedes-Benz,Vito
273.0,2.5,no,1999.0,2600.0,vagon,Diesel,Audi,A6
0.0,2.2,yes,2016.0,19418.746935058713,van,Diesel,Mercedes-Benz,V 250
237.0,3.0,yes,2003.0,12000.0,sedan,Diesel,BMW,530
118.0,1.6,yes,2008.0,19418.746935058713,sedan,Gas,Volkswagen,Jetta
106.0,1.6,yes,2013.0,18800.0,vagon,Diesel,Volkswagen,Passat B7
85.0,3.0,yes,2012.0,35500.0,crossover,Diesel,Toyota,Land Cruiser Prado
71.0,5.5,yes,2007.0,29900.0,other,Petrol,Mercedes-Benz,CL 500
110.0,1.5,yes,2012.0,6750.0,other,Diesel,Renault,Kangoo
0.0,4.5,yes,2016.0,19418.746935058713,crossover,Diesel,Toyota,Land Cruiser 200
117.0,3.0,yes,2011.0,34900.0,crossover,Petrol,BMW,X5
177.0,1.9,yes,2008.0,7700.0,van,Diesel,Volkswagen,T5 (Transporter)
220.0,1.5,yes,2010.0,9250.0,vagon,Diesel,Renault,Megane
84.0,1.5,yes,2011.0,8400.0,hatch,Diesel,Renault,Kangoo
93.0,1.6,yes,2013.0,11750.0,sedan,Petrol,Toyota,Corolla
368.0,2.2,yes,2000.0,5800.0,van,Diesel,Mercedes-Benz,Vito
180.0,3.0,no,2003.0,5900.0,crossover,Diesel,Toyota,Land Cruiser Prado
87.0,3.0,yes,2011.0,44999.0,crossover,Diesel,BMW,X6
170.0,1.6,yes,2013.0,10500.0,van,Diesel,Volkswagen,Caddy
190.0,3.0,yes,2007.0,17900.0,sedan,Diesel,Mercedes-Benz,E-Class
190.0,3.0,yes,2007.0,9999.0,sedan,Petrol,Audi,A6
190.0,2.5,yes,2003.0,9999.0,sedan,Diesel,Audi,A6
472.0,2.5,yes,2000.0,4900.0,van,Diesel,Renault,Master
2.0,3.0,yes,2016.0,61000.0,crossover,Diesel,Volkswagen,Touareg
130.0,5.7,yes,2009.0,38300.0,crossover,Gas,Toyota,Land Cruiser 200
30.0,1.6,yes,2014.0,17700.0,sedan,Petrol,Toyota,Corolla
10.0,1.5,yes,1979.0,600.0,sedan,Petrol,Toyota,Corolla
50.0,2.0,yes,2013.0,55555.0,van,Diesel,Volkswagen,Multivan
280.0,3.0,yes,2005.0,18000.0,crossover,Diesel,BMW,X5
125.0,1.5,yes,2013.0,7600.0,other,Diesel,Renault,Kangoo
68.0,1.5,yes,2013.0,6900.0,sedan,Diesel,Renault,Logan
0.0,1.5,yes,2016.0,15635.1,vagon,Diesel,Renault,Dokker
195.0,2.0,yes,2011.0,10550.0,van,Diesel,Renault,Trafic
190.0,1.9,yes,2008.0,12500.0,van,Diesel,Volkswagen,T5 (Transporter)
157.0,3.0,yes,2006.0,13000.0,sedan,Petrol,Audi,A6
285.0,4.4,yes,1997.0,7400.0,sedan,Gas,BMW,540
41.0,2.79073420738975,yes,2014.0,64400.0,other,Other,Audi,A8
100.0,1.5,yes,2009.0,9500.0,hatch,Diesel,Renault,Megane
197.0,4.2,yes,2007.0,18800.0,crossover,Petrol,Audi,Q7
176.0,3.0,yes,2002.0,8000.0,sedan,Petrol,Toyota,Camry
250.0,1.9,yes,2002.0,8700.0,vagon,Diesel,Volkswagen,Passat B5
300.0,3.2,yes,1998.0,9999.0,crossover,Petrol,Mercedes-Benz,ML 320
175.0,2.0,yes,2011.0,16700.0,sedan,Petrol,Volkswagen,Passat CC
90.0,1.6,yes,2012.0,13900.0,hatch,Petrol,Toyota,Auris
145.0,2.0,yes,2011.0,18700.0,other,Diesel,Volkswagen,T5 (Transporter)
152.0,1.6,yes,2006.0,6200.0,sedan,Petrol,Mitsubishi,Lancer
450.0,2.2,yes,2000.0,19418.746935058713,van,Diesel,Mercedes-Benz,Vito
22.0,1.9,yes,2001.0,3600.0,van,Diesel,Renault,Kangoo
98.0,1.4,yes,2007.0,7500.0,vagon,Petrol,Renault,Kangoo
200.0,1.9,yes,2002.0,2300.0,van,Diesel,Renault,Kangoo
133.0,2.5,yes,2007.0,16900.0,crossover,Diesel,Volkswagen,Touareg
116.0,2.4,yes,2008.0,13499.0,crossover,Petrol,Mitsubishi,Outlander XL
180.0,1.5,yes,2007.0,5700.0,van,Diesel,Renault,Kangoo
83.0,2.79073420738975,yes,2013.0,7250.0,van,Other,Renault,Kangoo
140.0,3.8,yes,2007.0,17900.0,crossover,Gas,Mitsubishi,Pajero Wagon
289.0,2.79073420738975,yes,2003.0,7800.0,vagon,Diesel,Volkswagen,Passat B5
170.0,1.9,yes,2006.0,13900.0,other,Diesel,Volkswagen,Multivan
167.0,2.5,yes,2000.0,7950.0,vagon,Diesel,Audi,A6
250.0,2.0,yes,2003.0,9700.0,sedan,Petrol,BMW,318
240.0,1.8,yes,2002.0,7500.0,sedan,Petrol,Volkswagen,Passat B5
117.0,4.2,yes,2007.0,19999.0,crossover,Petrol,Audi,Q7
230.0,2.0,yes,2004.0,9100.0,sedan,Gas,BMW,318
135.0,2.79073420738975,yes,2008.0,8100.0,van,Diesel,Renault,Kangoo
73.0,1.4,yes,2011.0,13300.0,hatch,Petrol,Volkswagen,Golf VI
22.0,1.2,yes,2014.0,21000.0,hatch,Other,Volkswagen,Golf VII
360.0,1.8,yes,1998.0,6600.0,sedan,Petrol,Audi,A6
226.0,3.0,no,2006.0,7600.0,vagon,Diesel,Audi,A6
258.0,1.7,no,2002.0,3500.0,hatch,Diesel,Mercedes-Benz,A 170
3.0,1.8,yes,1991.0,3500.0,sedan,Petrol,Volkswagen,Passat B3
167.0,2.2,yes,2012.0,17900.0,van,Diesel,Mercedes-Benz,Vito
286.0,1.9,no,2001.0,1950.0,vagon,Diesel,Renault,Laguna
90.0,1.4,yes,2003.0,7990.0,sedan,Petrol,Volkswagen,New Beetle
24.0,2.79073420738975,yes,2015.0,65000.0,crossover,Other,Volkswagen,Touareg
320.0,1.9,yes,2001.0,6500.0,sedan,Diesel,Volkswagen,Passat B5
300.0,2.0,yes,1996.0,3500.0,sedan,Diesel,Mitsubishi,Galant
113.0,2.4,yes,2009.0,14100.0,sedan,Gas,Toyota,Camry
300.0,1.6,yes,1991.0,2999.0,other,Petrol,Toyota,Corolla
70.0,3.0,yes,2014.0,66900.0,crossover,Diesel,BMW,X5
200.0,3.5,yes,2006.0,13100.0,sedan,Gas,Toyota,Camry
300.0,1.8,yes,1998.0,6900.0,sedan,Petrol,Volkswagen,Passat B5
