age	job	marital	month	education	default	housing	loan	contact	day_of_week	duration	campaign	pdays	previous	poutcome	emp.var.rate	cons.price.idx	cons.conf.idx	euribor3m	nr.employed	y
46.0	admin.	divorced	jul	university.degree	no	yes	no	telephone	mon	59.0	4.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
45.0	entrepreneur	married	aug	university.degree	unknown	yes	yes	cellular	mon	38.0	2.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
50.0	blue-collar	married	jul	basic.4y	no	no	yes	cellular	tue	849.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	yes
55.0	services	married	jul	basic.6y	unknown	yes	no	cellular	tue	326.0	6.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
39.0	technician	divorced	mar	high.school	no	no	no	cellular	mon	222.0	1.0	12.0	2.0	success	-1.8	93.369	-34.8	0.639	5008.7	yes
29.0	technician	single	aug	university.degree	no	yes	yes	cellular	wed	626.0	3.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.967	5228.1	no
40.0	management	married	aug	high.school	no	no	yes	cellular	wed	119.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
44.0	technician	married	may	professional.course	unknown	yes	no	telephone	fri	388.0	7.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.864	5191.0	no
38.0	technician	married	aug	professional.course	no	yes	no	cellular	mon	479.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	yes
36.0	technician	divorced	may	professional.course	no	no	no	telephone	wed	446.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
28.0	blue-collar	married	may	basic.6y	unknown	no	no	cellular	mon	68.0	2.0	999.0	1.0	failure	-1.8	92.893	-46.2	1.299	5099.1	no
47.0	admin.	single	may	unknown	unknown	no	no	telephone	thu	127.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.86	5191.0	no
34.0	admin.	married	aug	university.degree	no	no	no	cellular	tue	109.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
38.0	technician	married	mar	university.degree	no	yes	yes	cellular	tue	113.0	1.0	999.0	1.0	failure	-1.8	92.843	-50.0	1.687	5099.1	no
33.0	services	married	jun	high.school	unknown	yes	no	telephone	mon	393.0	3.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	no
51.0	technician	single	jun	university.degree	no	no	no	cellular	fri	151.0	2.0	999.0	0.0	nonexistent	-2.9	92.963	-40.8	1.268	5076.2	no
30.0	blue-collar	single	jun	basic.4y	unknown	yes	no	telephone	tue	256.0	1.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
48.0	technician	married	aug	university.degree	no	no	no	cellular	thu	42.0	7.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.962	5228.1	no
28.0	blue-collar	single	jun	basic.9y	no	yes	no	telephone	wed	525.0	1.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
36.0	blue-collar	married	may	basic.6y	no	yes	no	telephone	wed	57.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.859	5191.0	no
46.0	management	divorced	nov	high.school	no	no	no	cellular	wed	499.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.12	5195.8	no
31.0	technician	single	may	unknown	no	yes	no	cellular	wed	84.0	1.0	999.0	1.0	failure	-1.8	92.893	-46.2	1.334	5099.1	no
20.0	student	single	oct	unknown	no	no	no	cellular	mon	137.0	3.0	999.0	3.0	failure	-1.1	94.601	-49.5	0.977	4963.6	no
35.0	services	married	may	high.school	unknown	yes	no	cellular	tue	31.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.344	5099.1	no
38.0	blue-collar	married	jun	basic.9y	unknown	unknown	unknown	telephone	fri	430.0	1.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.967	5228.1	no
76.0	retired	married	aug	university.degree	no	no	no	cellular	thu	126.0	1.0	999.0	1.0	failure	-1.7	94.027	-38.3	0.899	4991.6	no
45.0	entrepreneur	divorced	jul	professional.course	no	yes	no	cellular	tue	211.0	3.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
32.0	housemaid	married	may	basic.4y	no	yes	yes	cellular	fri	340.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
39.0	management	single	may	university.degree	unknown	no	no	cellular	thu	412.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
32.0	admin.	married	nov	university.degree	no	no	no	telephone	thu	132.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.592	5195.8	no
29.0	admin.	single	may	basic.9y	no	no	no	cellular	mon	79.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.299	5099.1	no
44.0	services	married	aug	professional.course	no	no	no	cellular	mon	341.0	2.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.97	5228.1	no
32.0	services	married	jul	high.school	no	no	yes	cellular	fri	157.0	3.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.957	5228.1	no
56.0	retired	married	jun	university.degree	no	yes	no	cellular	wed	252.0	1.0	999.0	2.0	failure	-2.9	92.963	-40.8	1.26	5076.2	no
33.0	blue-collar	married	may	basic.9y	no	yes	no	cellular	thu	263.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
39.0	management	married	aug	high.school	no	no	no	cellular	fri	215.0	3.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	no
24.0	technician	married	sep	university.degree	no	yes	yes	cellular	tue	89.0	2.0	3.0	1.0	success	-3.4	92.379	-29.8	0.77	5017.5	yes
33.0	admin.	single	may	university.degree	no	yes	no	cellular	thu	143.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
58.0	entrepreneur	divorced	jun	university.degree	no	no	no	telephone	thu	40.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.866	5228.1	no
29.0	admin.	single	jun	university.degree	no	yes	no	telephone	fri	10.0	27.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
31.0	admin.	married	aug	university.degree	no	yes	no	cellular	thu	113.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
27.0	admin.	married	may	university.degree	no	no	no	telephone	wed	191.0	5.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
60.0	admin.	divorced	sep	professional.course	no	yes	no	cellular	wed	481.0	1.0	999.0	1.0	failure	-1.1	94.199	-37.5	0.886	4963.6	yes
55.0	entrepreneur	married	oct	professional.course	no	yes	yes	cellular	mon	233.0	1.0	999.0	2.0	failure	-3.4	92.431	-26.9	0.739	5017.5	no
37.0	blue-collar	married	may	basic.9y	no	yes	no	cellular	wed	204.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.334	5099.1	no
52.0	admin.	married	apr	unknown	no	yes	no	telephone	wed	403.0	1.0	6.0	1.0	success	-1.8	93.749	-34.6	0.654	5008.7	yes
46.0	services	married	apr	high.school	no	yes	no	cellular	mon	180.0	1.0	999.0	0.0	nonexistent	-1.8	93.075	-47.1	1.405	5099.1	no
42.0	blue-collar	divorced	may	basic.6y	no	yes	no	cellular	wed	16.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.281	5099.1	no
35.0	admin.	single	jul	university.degree	no	yes	no	cellular	mon	447.0	3.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	no
49.0	technician	divorced	oct	unknown	no	yes	yes	cellular	thu	81.0	1.0	999.0	0.0	nonexistent	-3.4	92.431	-26.9	0.754	5017.5	no
29.0	services	divorced	jun	high.school	no	no	yes	telephone	mon	361.0	3.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	no
32.0	blue-collar	married	nov	basic.9y	no	no	no	cellular	mon	1091.0	2.0	5.0	1.0	success	-0.1	93.2	-42.0	4.191	5195.8	yes
37.0	self-employed	married	may	university.degree	no	no	no	cellular	fri	395.0	1.0	999.0	1.0	failure	-1.8	92.893	-46.2	1.313	5099.1	no
39.0	technician	single	jun	professional.course	unknown	no	no	telephone	mon	432.0	4.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.865	5228.1	yes
51.0	services	married	jul	high.school	unknown	yes	no	telephone	mon	596.0	3.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	yes
28.0	admin.	single	may	high.school	no	yes	no	cellular	tue	59.0	3.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.291	5099.1	no
34.0	management	married	may	university.degree	no	yes	no	cellular	wed	77.0	4.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.281	5099.1	no
31.0	technician	single	aug	high.school	no	yes	yes	cellular	tue	768.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	yes
31.0	admin.	married	aug	university.degree	no	yes	no	cellular	thu	96.0	5.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.962	5228.1	no
31.0	admin.	single	jun	university.degree	no	yes	no	telephone	wed	357.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
38.0	self-employed	single	may	university.degree	no	no	no	telephone	thu	459.0	2.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
33.0	unemployed	married	jun	basic.9y	no	no	no	telephone	fri	11.0	6.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
32.0	technician	single	aug	university.degree	no	no	no	cellular	tue	264.0	12.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.966	5228.1	no
54.0	technician	married	apr	professional.course	unknown	yes	no	cellular	mon	698.0	1.0	999.0	0.0	nonexistent	-1.8	93.075	-47.1	1.405	5099.1	no
41.0	admin.	divorced	jun	high.school	no	yes	no	telephone	tue	204.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	no
59.0	services	married	aug	basic.4y	unknown	no	no	cellular	thu	93.0	7.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
57.0	retired	married	apr	university.degree	no	yes	no	cellular	thu	374.0	1.0	2.0	1.0	success	-1.8	93.075	-47.1	1.365	5099.1	no
38.0	entrepreneur	divorced	nov	university.degree	no	yes	no	cellular	thu	252.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
46.0	admin.	married	may	university.degree	no	yes	no	telephone	tue	158.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
37.0	unemployed	single	nov	university.degree	no	yes	yes	cellular	tue	95.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	no
47.0	services	single	jun	basic.9y	no	unknown	unknown	telephone	thu	835.0	3.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	yes
45.0	admin.	single	aug	university.degree	no	no	no	cellular	thu	505.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	yes
36.0	blue-collar	married	jul	basic.6y	no	yes	no	telephone	wed	16.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
40.0	unemployed	single	jul	high.school	no	yes	no	cellular	mon	300.0	5.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	no
38.0	blue-collar	married	nov	basic.9y	no	no	no	cellular	tue	180.0	2.0	999.0	1.0	failure	-0.1	93.2	-42.0	4.153	5195.8	no
44.0	blue-collar	married	jun	high.school	unknown	no	no	telephone	tue	390.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	no
25.0	self-employed	married	may	university.degree	no	yes	no	telephone	fri	274.0	2.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
30.0	blue-collar	single	jul	basic.6y	no	yes	no	telephone	tue	135.0	5.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
43.0	management	married	nov	professional.course	no	no	no	cellular	tue	257.0	2.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	no
58.0	retired	married	may	basic.6y	unknown	no	no	telephone	mon	268.0	3.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
31.0	technician	married	may	professional.course	no	yes	no	telephone	wed	157.0	6.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
53.0	management	married	jul	university.degree	no	no	no	cellular	tue	477.0	2.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
52.0	admin.	married	aug	unknown	no	no	no	cellular	tue	91.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.968	5228.1	no
37.0	management	married	apr	university.degree	unknown	no	yes	cellular	fri	76.0	1.0	999.0	1.0	failure	-1.8	93.075	-47.1	1.405	5099.1	no
58.0	admin.	married	jul	high.school	unknown	yes	no	cellular	tue	103.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
37.0	services	married	may	high.school	no	yes	yes	cellular	thu	436.0	3.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.266	5099.1	no
38.0	admin.	single	may	unknown	no	yes	no	cellular	fri	191.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
33.0	services	single	apr	basic.9y	no	yes	no	cellular	thu	483.0	2.0	999.0	0.0	nonexistent	-1.8	93.075	-47.1	1.41	5099.1	no
45.0	services	married	may	high.school	unknown	yes	no	cellular	fri	250.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.25	5099.1	no
44.0	entrepreneur	married	may	professional.course	no	no	no	telephone	mon	259.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.858	5191.0	no
38.0	blue-collar	married	jul	basic.6y	no	yes	no	telephone	thu	389.0	2.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.966	5228.1	no
34.0	blue-collar	married	jun	basic.9y	no	no	no	telephone	tue	7.0	1.0	999.0	0.0	nonexistent	-1.7	94.055	-39.8	0.702	4991.6	no
47.0	management	married	jul	university.degree	no	yes	no	cellular	wed	123.0	1.0	999.0	0.0	nonexistent	-2.9	92.469	-33.6	1.029	5076.2	no
59.0	admin.	married	jul	university.degree	no	yes	yes	cellular	wed	92.0	1.0	999.0	0.0	nonexistent	-2.9	92.469	-33.6	1.085	5076.2	no
51.0	blue-collar	married	aug	basic.4y	unknown	yes	yes	cellular	thu	297.0	2.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.964	5228.1	no
31.0	blue-collar	married	jun	basic.6y	no	yes	no	telephone	wed	406.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
56.0	management	married	nov	university.degree	no	yes	yes	cellular	wed	104.0	1.0	999.0	1.0	failure	-0.1	93.2	-42.0	4.12	5195.8	no
39.0	admin.	married	jun	university.degree	no	no	no	telephone	mon	135.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.961	5228.1	no
41.0	entrepreneur	married	nov	university.degree	no	yes	no	cellular	tue	854.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	yes
41.0	management	divorced	nov	basic.6y	no	yes	no	cellular	thu	147.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
53.0	services	married	may	high.school	unknown	no	no	telephone	thu	203.0	4.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.86	5191.0	no
35.0	blue-collar	married	jul	high.school	no	no	yes	cellular	mon	149.0	4.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
58.0	retired	married	may	basic.9y	no	no	yes	cellular	wed	144.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.334	5099.1	no
25.0	self-employed	married	jun	professional.course	no	yes	no	telephone	wed	394.0	2.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	no
35.0	blue-collar	divorced	may	basic.9y	no	yes	no	cellular	tue	523.0	1.0	999.0	1.0	failure	-1.8	92.893	-46.2	1.344	5099.1	no
28.0	services	single	jul	high.school	no	no	no	cellular	wed	73.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.963	5228.1	no
55.0	blue-collar	married	may	professional.course	no	yes	yes	cellular	fri	197.0	3.0	999.0	1.0	failure	-1.8	92.893	-46.2	1.25	5099.1	no
54.0	entrepreneur	married	may	basic.4y	unknown	no	yes	telephone	thu	108.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
45.0	technician	divorced	jul	basic.9y	unknown	no	no	cellular	wed	80.0	2.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
32.0	blue-collar	married	apr	basic.9y	no	yes	no	cellular	thu	114.0	1.0	999.0	1.0	failure	-1.8	93.075	-47.1	1.41	5099.1	no
50.0	admin.	married	aug	basic.9y	unknown	yes	no	cellular	thu	122.0	3.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
75.0	retired	married	apr	basic.4y	no	no	no	cellular	tue	109.0	1.0	999.0	1.0	failure	-1.8	93.075	-47.1	1.405	5099.1	yes
33.0	self-employed	divorced	may	unknown	no	no	no	telephone	wed	1161.0	4.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.858	5191.0	no
29.0	management	married	aug	university.degree	no	no	yes	cellular	wed	181.0	2.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.967	5228.1	no
45.0	management	married	may	university.degree	no	yes	no	cellular	thu	239.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.327	5099.1	no
38.0	admin.	divorced	apr	university.degree	no	no	no	cellular	mon	360.0	1.0	999.0	0.0	nonexistent	-1.8	93.075	-47.1	1.392	5099.1	yes
24.0	services	single	may	professional.course	no	yes	no	telephone	mon	314.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.858	5191.0	no
41.0	technician	married	aug	professional.course	no	yes	no	cellular	mon	984.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
58.0	retired	divorced	jun	high.school	no	yes	no	cellular	tue	663.0	1.0	999.0	0.0	nonexistent	-2.9	92.963	-40.8	1.262	5076.2	yes
34.0	admin.	married	may	university.degree	no	no	yes	telephone	wed	157.0	2.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.857	5191.0	no
34.0	admin.	married	nov	university.degree	no	no	no	cellular	mon	141.0	2.0	999.0	0.0	nonexistent	-1.1	94.767	-50.8	1.05	4963.6	no
37.0	technician	divorced	may	professional.course	no	no	no	telephone	wed	374.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.856	5191.0	no
53.0	blue-collar	divorced	jun	basic.4y	no	no	no	telephone	wed	706.0	1.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.959	5228.1	yes
54.0	technician	divorced	jul	professional.course	no	yes	yes	cellular	tue	797.0	14.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
32.0	technician	divorced	nov	professional.course	no	yes	no	cellular	tue	250.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.153	5195.8	no
42.0	admin.	married	jul	high.school	no	yes	no	cellular	fri	311.0	6.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.962	5228.1	no
28.0	technician	single	aug	professional.course	no	yes	no	cellular	thu	63.0	2.0	3.0	1.0	success	-2.9	92.201	-31.4	0.851	5076.2	yes
33.0	services	single	may	high.school	no	yes	no	telephone	fri	111.0	1.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.864	5191.0	no
41.0	blue-collar	married	apr	basic.9y	no	yes	no	cellular	mon	148.0	2.0	999.0	0.0	nonexistent	-1.8	93.075	-47.1	1.405	5099.1	no
31.0	services	married	nov	high.school	no	no	yes	cellular	thu	49.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
40.0	technician	married	may	basic.9y	unknown	no	yes	telephone	thu	171.0	4.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.86	5191.0	no
53.0	unknown	married	nov	basic.9y	no	no	yes	cellular	wed	242.0	1.0	999.0	1.0	failure	-3.4	92.649	-30.1	0.716	5017.5	no
40.0	admin.	divorced	aug	university.degree	no	yes	no	cellular	mon	257.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
82.0	housemaid	married	sep	basic.4y	no	no	no	telephone	tue	279.0	3.0	3.0	2.0	success	-1.1	94.199	-37.5	0.877	4963.6	yes
28.0	blue-collar	married	jul	basic.4y	no	yes	no	cellular	mon	113.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.96	5228.1	no
30.0	admin.	married	nov	high.school	unknown	yes	no	cellular	wed	246.0	3.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.12	5195.8	no
31.0	unemployed	single	jul	university.degree	no	yes	no	cellular	tue	309.0	1.0	6.0	3.0	success	-1.7	94.215	-40.3	0.835	4991.6	yes
32.0	technician	single	aug	university.degree	no	yes	no	cellular	wed	168.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
54.0	blue-collar	married	aug	basic.4y	no	yes	no	cellular	tue	153.0	1.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.963	5228.1	no
31.0	blue-collar	married	jul	basic.9y	no	no	no	cellular	wed	152.0	1.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.963	5228.1	no
50.0	services	married	aug	unknown	no	yes	no	cellular	thu	90.0	2.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.968	5228.1	no
47.0	technician	single	jul	unknown	no	no	no	cellular	tue	117.0	2.0	999.0	0.0	nonexistent	1.4	93.918	-42.7	4.961	5228.1	no
31.0	admin.	single	may	high.school	no	yes	yes	cellular	wed	149.0	1.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.281	5099.1	no
32.0	unemployed	married	nov	high.school	no	yes	no	cellular	thu	640.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.076	5195.8	no
46.0	admin.	single	nov	high.school	no	yes	no	cellular	mon	199.0	2.0	999.0	2.0	failure	-1.1	94.767	-50.8	1.048	4963.6	no
47.0	admin.	single	may	high.school	no	no	no	cellular	mon	1114.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.299	5099.1	no
32.0	admin.	single	nov	high.school	no	no	no	cellular	mon	74.0	2.0	999.0	2.0	failure	-1.1	94.767	-50.8	1.048	4963.6	no
52.0	services	divorced	nov	high.school	unknown	no	no	cellular	mon	190.0	1.0	999.0	0.0	nonexistent	-0.1	93.2	-42.0	4.191	5195.8	no
45.0	admin.	married	oct	high.school	no	yes	no	cellular	fri	738.0	3.0	6.0	1.0	success	-1.1	94.601	-49.5	1.029	4963.6	yes
32.0	admin.	married	may	university.degree	no	yes	no	cellular	fri	374.0	2.0	999.0	0.0	nonexistent	-1.8	92.893	-46.2	1.313	5099.1	no
71.0	blue-collar	divorced	aug	basic.4y	unknown	no	no	cellular	thu	224.0	1.0	999.0	0.0	nonexistent	-1.7	94.027	-38.3	0.904	4991.6	no
49.0	services	married	may	high.school	no	yes	no	telephone	fri	344.0	2.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.855	5191.0	no
46.0	admin.	married	jun	high.school	no	yes	yes	telephone	wed	148.0	10.0	999.0	0.0	nonexistent	1.4	94.465	-41.8	4.864	5228.1	no
46.0	blue-collar	married	nov	professional.course	no	no	no	cellular	fri	383.0	1.0	999.0	0.0	nonexistent	-1.1	94.767	-50.8	1.028	4963.6	no
38.0	admin.	married	aug	university.degree	no	yes	no	cellular	tue	35.0	6.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
57.0	services	married	aug	professional.course	unknown	no	no	cellular	mon	153.0	2.0	999.0	0.0	nonexistent	1.4	93.444	-36.1	4.965	5228.1	no
41.0	services	single	may	high.school	unknown	unknown	unknown	cellular	mon	772.0	2.0	999.0	1.0	failure	-1.8	92.893	-46.2	1.299	5099.1	no
44.0	technician	married	may	professional.course	no	no	no	telephone	fri	124.0	3.0	999.0	0.0	nonexistent	1.1	93.994	-36.4	4.864	5191.0	no
