total_bill	time	size	tip	sex	smoker	day
10.59	Dinner	2.0	1.61	Female	Yes	Sat
10.63	Dinner	2.0	2.0	Female	Yes	Sat
50.81	Dinner	3.0	10.0	Male	Yes	Sat
15.81	Dinner	2.0	3.16	Male	Yes	Sat
7.25	Dinner	2.0	5.15	Male	Yes	Sun
31.85	Dinner	2.0	3.18	Male	Yes	Sun
16.82	Dinner	2.0	4.0	Male	Yes	Sun
32.9	Dinner	2.0	3.11	Male	Yes	Sun
17.89	Dinner	2.0	2.0	Male	Yes	Sun
14.48	Dinner	2.0	2.0	Male	Yes	Sun
9.6	Dinner	2.0	4.0	Female	Yes	Sun
34.63	Dinner	2.0	3.55	Male	Yes	Sun
34.65	Dinner	4.0	3.68	Male	Yes	Sun
23.33	Dinner	2.0	5.65	Male	Yes	Sun
45.35	Dinner	3.0	3.5	Male	Yes	Sun
23.17	Dinner	4.0	6.5	Male	Yes	Sun
40.55	Dinner	2.0	3.0	Male	Yes	Sun
20.69	Dinner	5.0	5.0	Male	No	Sun
20.9	Dinner	3.0	3.5	Female	Yes	Sun
30.46	Dinner	5.0	2.0	Male	Yes	Sun
18.15	Dinner	3.0	3.5	Female	Yes	Sun
23.1	Dinner	3.0	4.0	Male	Yes	Sun
15.69	Dinner	2.0	1.5	Male	Yes	Sun
19.81	Lunch	2.0	4.19	Female	Yes	Thur
28.44	Lunch	2.0	2.56	Male	Yes	Thur
15.48	Lunch	2.0	2.02	Male	Yes	Thur
16.58	Lunch	2.0	4.0	Male	Yes	Thur
7.56	Lunch	2.0	1.44	Male	No	Thur
10.34	Lunch	2.0	2.0	Male	Yes	Thur
43.11	Lunch	4.0	5.0	Female	Yes	Thur
13.0	Lunch	2.0	2.0	Female	Yes	Thur
13.51	Lunch	2.0	2.0	Male	Yes	Thur
18.71	Lunch	3.0	4.0	Male	Yes	Thur
12.74	Lunch	2.0	2.01	Female	Yes	Thur
13.0	Lunch	2.0	2.0	Female	Yes	Thur
16.4	Lunch	2.0	2.5	Female	Yes	Thur
20.53	Lunch	4.0	4.0	Male	Yes	Thur
16.47	Lunch	3.0	3.23	Female	Yes	Thur
26.59	Dinner	3.0	3.41	Male	Yes	Sat
38.73	Dinner	4.0	3.0	Male	Yes	Sat
24.27	Dinner	2.0	2.03	Male	Yes	Sat
12.76	Dinner	2.0	2.23	Female	Yes	Sat
30.06	Dinner	3.0	2.0	Male	Yes	Sat
25.89	Dinner	4.0	5.16	Male	Yes	Sat
48.33	Dinner	4.0	9.0	Male	No	Sat
13.27	Dinner	2.0	2.5	Female	Yes	Sat
28.17	Dinner	3.0	6.5	Female	Yes	Sat
12.9	Dinner	2.0	1.1	Female	Yes	Sat
28.15	Dinner	5.0	3.0	Male	Yes	Sat
11.59	Dinner	2.0	1.5	Male	Yes	Sat
7.74	Dinner	2.0	1.44	Male	Yes	Sat
30.14	Dinner	4.0	3.09	Female	Yes	Sat
12.16	Lunch	2.0	2.2	Male	Yes	Fri
13.42	Lunch	2.0	3.48	Female	Yes	Fri
8.58	Lunch	1.0	1.92	Male	Yes	Fri
15.98	Lunch	3.0	3.0	Female	No	Fri
13.42	Lunch	2.0	1.58	Male	Yes	Fri
16.27	Lunch	2.0	2.5	Female	Yes	Fri
10.09	Lunch	2.0	2.0	Female	Yes	Fri
20.45	Dinner	4.0	3.0	Male	No	Sat
13.28	Dinner	2.0	2.72	Male	No	Sat
22.12	Dinner	2.0	2.88	Female	Yes	Sat
24.01	Dinner	4.0	2.0	Male	Yes	Sat
15.69	Dinner	3.0	3.0	Male	Yes	Sat
11.61	Dinner	2.0	3.39	Male	No	Sat
10.77	Dinner	2.0	1.47	Male	No	Sat
15.53	Dinner	2.0	3.0	Male	Yes	Sat
10.07	Dinner	2.0	1.25	Male	No	Sat
12.6	Dinner	2.0	1.0	Male	Yes	Sat
32.83	Dinner	2.0	1.17	Male	Yes	Sat
35.83	Dinner	3.0	4.67	Female	No	Sat
29.03	Dinner	3.0	5.92	Male	No	Sat
27.18	Dinner	2.0	2.0	Female	Yes	Sat
22.67	Dinner	2.0	2.0	Male	Yes	Sat
17.82	Dinner	2.0	1.75	Male	No	Sat
18.78	Dinner	2.0	3.0	Female	No	Thur
