instant	cnt	yr	hum	mnth	hr	holiday	weekday	season	weathersit	temp	atemp	windspeed	casual	registered	workingday	dteday
86.0	212.0	0	0.48	1.0	17.0	0	2.0	1.0	1.0	0.28	0.2727	0.2239	10.0	202.0	1	2011-01-04
87.0	182.0	0	0.48	1.0	18.0	0	2.0	1.0	1.0	0.26	0.2576	0.194	3.0	179.0	1	2011-01-04
88.0	112.0	0	0.48	1.0	19.0	0	2.0	1.0	1.0	0.24	0.2576	0.1045	2.0	110.0	1	2011-01-04
89.0	54.0	0	0.48	1.0	20.0	0	2.0	1.0	1.0	0.24	0.2576	0.1045	1.0	53.0	1	2011-01-04
90.0	48.0	0	0.64	1.0	21.0	0	2.0	1.0	1.0	0.22	0.2727	0.0	0.0	48.0	1	2011-01-04
91.0	35.0	0	0.64	1.0	22.0	0	2.0	1.0	1.0	0.22	0.2576	0.0896	1.0	34.0	1	2011-01-04
92.0	11.0	0	0.69	1.0	23.0	0	2.0	1.0	1.0	0.2	0.2273	0.0896	2.0	9.0	1	2011-01-04
93.0	6.0	0	0.64	1.0	0.0	0	3.0	1.0	1.0	0.2	0.2576	0.0	0.0	6.0	1	2011-01-05
94.0	6.0	0	0.74	1.0	1.0	0	3.0	1.0	1.0	0.16	0.197	0.0896	0.0	6.0	1	2011-01-05
95.0	2.0	0	0.74	1.0	2.0	0	3.0	1.0	1.0	0.16	0.197	0.0896	0.0	2.0	1	2011-01-05
96.0	2.0	0	0.48	1.0	4.0	0	3.0	1.0	1.0	0.24	0.2273	0.2239	0.0	2.0	1	2011-01-05
97.0	3.0	0	0.47	1.0	5.0	0	3.0	1.0	1.0	0.22	0.2273	0.1642	0.0	3.0	1	2011-01-05
98.0	33.0	0	0.47	1.0	6.0	0	3.0	1.0	1.0	0.2	0.197	0.2239	0.0	33.0	1	2011-01-05
99.0	88.0	0	0.43	1.0	7.0	0	3.0	1.0	1.0	0.18	0.1818	0.194	1.0	87.0	1	2011-01-05
100.0	195.0	0	0.4	1.0	8.0	0	3.0	1.0	1.0	0.2	0.1818	0.2985	3.0	192.0	1	2011-01-05
101.0	115.0	0	0.37	1.0	9.0	0	3.0	1.0	1.0	0.22	0.197	0.3284	6.0	109.0	1	2011-01-05
102.0	57.0	0	0.37	1.0	10.0	0	3.0	1.0	1.0	0.22	0.197	0.3284	4.0	53.0	1	2011-01-05
103.0	46.0	0	0.33	1.0	11.0	0	3.0	1.0	1.0	0.26	0.2273	0.3284	12.0	34.0	1	2011-01-05
104.0	79.0	0	0.33	1.0	12.0	0	3.0	1.0	1.0	0.26	0.2273	0.3284	5.0	74.0	1	2011-01-05
105.0	71.0	0	0.3	1.0	13.0	0	3.0	1.0	1.0	0.28	0.2576	0.2985	6.0	65.0	1	2011-01-05
106.0	62.0	0	0.28	1.0	14.0	0	3.0	1.0	1.0	0.3	0.2879	0.194	10.0	52.0	1	2011-01-05
107.0	62.0	0	0.28	1.0	15.0	0	3.0	1.0	1.0	0.3	0.2879	0.194	7.0	55.0	1	2011-01-05
108.0	89.0	0	0.28	1.0	16.0	0	3.0	1.0	1.0	0.3	0.3182	0.0896	4.0	85.0	1	2011-01-05
109.0	190.0	0	0.38	1.0	17.0	0	3.0	1.0	1.0	0.24	0.2273	0.194	4.0	186.0	1	2011-01-05
110.0	169.0	0	0.38	1.0	18.0	0	3.0	1.0	1.0	0.24	0.2424	0.1343	3.0	166.0	1	2011-01-05
111.0	132.0	0	0.38	1.0	19.0	0	3.0	1.0	1.0	0.24	0.2576	0.1045	5.0	127.0	1	2011-01-05
112.0	89.0	0	0.47	1.0	20.0	0	3.0	1.0	1.0	0.22	0.2273	0.1642	7.0	82.0	1	2011-01-05
113.0	43.0	0	0.51	1.0	21.0	0	3.0	1.0	1.0	0.2	0.197	0.194	3.0	40.0	1	2011-01-05
114.0	42.0	0	0.55	1.0	22.0	0	3.0	1.0	1.0	0.18	0.197	0.1343	1.0	41.0	1	2011-01-05
115.0	19.0	0	0.47	1.0	23.0	0	3.0	1.0	1.0	0.2	0.2576	0.0	1.0	18.0	1	2011-01-05
116.0	11.0	0	0.55	1.0	0.0	0	4.0	1.0	1.0	0.18	0.2424	0.0	0.0	11.0	1	2011-01-06
117.0	4.0	0	0.64	1.0	1.0	0	4.0	1.0	1.0	0.16	0.2273	0.0	0.0	4.0	1	2011-01-06
118.0	2.0	0	0.64	1.0	2.0	0	4.0	1.0	1.0	0.16	0.2273	0.0	0.0	2.0	1	2011-01-06
119.0	1.0	0	0.64	1.0	4.0	0	4.0	1.0	2.0	0.16	0.197	0.0896	0.0	1.0	1	2011-01-06
120.0	4.0	0	0.69	1.0	5.0	0	4.0	1.0	2.0	0.14	0.1818	0.0896	0.0	4.0	1	2011-01-06
121.0	36.0	0	0.63	1.0	6.0	0	4.0	1.0	2.0	0.14	0.1667	0.1045	0.0	36.0	1	2011-01-06
122.0	95.0	0	0.59	1.0	7.0	0	4.0	1.0	2.0	0.16	0.2273	0.0	0.0	95.0	1	2011-01-06
123.0	219.0	0	0.59	1.0	8.0	0	4.0	1.0	1.0	0.16	0.2273	0.0	3.0	216.0	1	2011-01-06
124.0	122.0	0	0.51	1.0	9.0	0	4.0	1.0	2.0	0.18	0.2424	0.0	6.0	116.0	1	2011-01-06
125.0	45.0	0	0.47	1.0	10.0	0	4.0	1.0	1.0	0.2	0.2576	0.0	3.0	42.0	1	2011-01-06
126.0	59.0	0	0.44	1.0	11.0	0	4.0	1.0	1.0	0.22	0.2576	0.0896	2.0	57.0	1	2011-01-06
127.0	84.0	0	0.35	1.0	12.0	0	4.0	1.0	1.0	0.26	0.2879	0.0	6.0	78.0	1	2011-01-06
128.0	67.0	0	0.35	1.0	13.0	0	4.0	1.0	1.0	0.26	0.2727	0.1045	12.0	55.0	1	2011-01-06
129.0	70.0	0	0.36	1.0	14.0	0	4.0	1.0	1.0	0.28	0.2727	0.1642	11.0	59.0	1	2011-01-06
130.0	62.0	0	0.36	1.0	15.0	0	4.0	1.0	1.0	0.28	0.2727	0.0	8.0	54.0	1	2011-01-06
131.0	86.0	0	0.38	1.0	16.0	0	4.0	1.0	1.0	0.26	0.2576	0.1642	12.0	74.0	1	2011-01-06
132.0	172.0	0	0.51	1.0	17.0	0	4.0	1.0	1.0	0.22	0.2273	0.1642	9.0	163.0	1	2011-01-06
133.0	163.0	0	0.51	1.0	18.0	0	4.0	1.0	1.0	0.22	0.2273	0.1343	5.0	158.0	1	2011-01-06
134.0	112.0	0	0.55	1.0	19.0	0	4.0	1.0	1.0	0.22	0.2576	0.0896	3.0	109.0	1	2011-01-06
135.0	69.0	0	0.51	1.0	20.0	0	4.0	1.0	1.0	0.2	0.2121	0.1642	3.0	66.0	1	2011-01-06
136.0	48.0	0	0.55	1.0	21.0	0	4.0	1.0	2.0	0.22	0.2121	0.2239	0.0	48.0	1	2011-01-06
137.0	52.0	0	0.51	1.0	22.0	0	4.0	1.0	2.0	0.22	0.2121	0.2836	1.0	51.0	1	2011-01-06
138.0	23.0	0	0.59	1.0	23.0	0	4.0	1.0	2.0	0.2	0.197	0.194	4.0	19.0	1	2011-01-06
139.0	17.0	0	0.64	1.0	0.0	0	5.0	1.0	2.0	0.2	0.197	0.194	4.0	13.0	1	2011-01-07
140.0	7.0	0	0.69	1.0	1.0	0	5.0	1.0	2.0	0.2	0.197	0.2239	2.0	5.0	1	2011-01-07
141.0	1.0	0	0.69	1.0	2.0	0	5.0	1.0	2.0	0.2	0.197	0.2239	0.0	1.0	1	2011-01-07
142.0	1.0	0	0.69	1.0	4.0	0	5.0	1.0	2.0	0.2	0.2121	0.1343	0.0	1.0	1	2011-01-07
143.0	5.0	0	0.55	1.0	5.0	0	5.0	1.0	3.0	0.22	0.2727	0.0	0.0	5.0	1	2011-01-07
144.0	34.0	0	0.69	1.0	6.0	0	5.0	1.0	2.0	0.2	0.2576	0.0	8.0	26.0	1	2011-01-07
145.0	84.0	0	0.69	1.0	7.0	0	5.0	1.0	1.0	0.2	0.2121	0.1343	8.0	76.0	1	2011-01-07
146.0	210.0	0	0.51	1.0	8.0	0	5.0	1.0	1.0	0.2	0.197	0.2537	20.0	190.0	1	2011-01-07
147.0	134.0	0	0.47	1.0	9.0	0	5.0	1.0	1.0	0.2	0.1818	0.2985	9.0	125.0	1	2011-01-07
148.0	63.0	0	0.37	1.0	10.0	0	5.0	1.0	1.0	0.22	0.197	0.3284	16.0	47.0	1	2011-01-07
149.0	67.0	0	0.4	1.0	11.0	0	5.0	1.0	2.0	0.2	0.197	0.2239	19.0	48.0	1	2011-01-07
150.0	59.0	0	0.37	1.0	12.0	0	5.0	1.0	2.0	0.2	0.197	0.2537	9.0	50.0	1	2011-01-07
151.0	73.0	0	0.37	1.0	13.0	0	5.0	1.0	2.0	0.2	0.1818	0.2836	9.0	64.0	1	2011-01-07
152.0	50.0	0	0.4	1.0	14.0	0	5.0	1.0	2.0	0.2	0.197	0.2537	7.0	43.0	1	2011-01-07
153.0	72.0	0	0.37	1.0	15.0	0	5.0	1.0	2.0	0.2	0.2121	0.1642	9.0	63.0	1	2011-01-07
154.0	87.0	0	0.37	1.0	16.0	0	5.0	1.0	2.0	0.2	0.2121	0.1642	5.0	82.0	1	2011-01-07
155.0	187.0	0	0.37	1.0	17.0	0	5.0	1.0	2.0	0.2	0.2576	0.0	9.0	178.0	1	2011-01-07
156.0	123.0	0	0.4	1.0	18.0	0	5.0	1.0	1.0	0.2	0.2273	0.0896	7.0	116.0	1	2011-01-07
157.0	95.0	0	0.55	1.0	19.0	0	5.0	1.0	1.0	0.16	0.197	0.0896	3.0	92.0	1	2011-01-07
158.0	51.0	0	0.47	1.0	20.0	0	5.0	1.0	1.0	0.18	0.2121	0.1045	1.0	50.0	1	2011-01-07
159.0	39.0	0	0.47	1.0	21.0	0	5.0	1.0	1.0	0.18	0.197	0.1343	0.0	39.0	1	2011-01-07
160.0	36.0	0	0.43	1.0	22.0	0	5.0	1.0	2.0	0.18	0.197	0.1642	2.0	34.0	1	2011-01-07
161.0	15.0	0	0.51	1.0	23.0	0	5.0	1.0	2.0	0.18	0.197	0.1642	1.0	14.0	1	2011-01-07
162.0	25.0	0	0.51	1.0	0.0	0	6.0	1.0	2.0	0.18	0.197	0.1642	1.0	24.0	0	2011-01-08
163.0	16.0	0	0.55	1.0	1.0	0	6.0	1.0	2.0	0.18	0.2121	0.0896	1.0	15.0	0	2011-01-08
164.0	16.0	0	0.55	1.0	2.0	0	6.0	1.0	2.0	0.18	0.2424	0.0	3.0	13.0	0	2011-01-08
165.0	7.0	0	0.55	1.0	3.0	0	6.0	1.0	3.0	0.18	0.197	0.1642	0.0	7.0	0	2011-01-08
166.0	1.0	0	0.55	1.0	4.0	0	6.0	1.0	3.0	0.18	0.197	0.1642	0.0	1.0	0	2011-01-08
167.0	5.0	0	0.74	1.0	5.0	0	6.0	1.0	2.0	0.16	0.1667	0.1642	0.0	5.0	0	2011-01-08
168.0	2.0	0	0.74	1.0	6.0	0	6.0	1.0	2.0	0.16	0.1667	0.1642	0.0	2.0	0	2011-01-08
169.0	9.0	0	0.74	1.0	7.0	0	6.0	1.0	2.0	0.16	0.1818	0.1045	1.0	8.0	0	2011-01-08
170.0	15.0	0	0.93	1.0	8.0	0	6.0	1.0	3.0	0.16	0.1818	0.1045	0.0	15.0	0	2011-01-08
171.0	20.0	0	0.93	1.0	9.0	0	6.0	1.0	3.0	0.16	0.1818	0.1045	0.0	20.0	0	2011-01-08
172.0	61.0	0	0.8	1.0	10.0	0	6.0	1.0	2.0	0.18	0.197	0.1642	5.0	56.0	0	2011-01-08
173.0	62.0	0	0.69	1.0	11.0	0	6.0	1.0	2.0	0.2	0.1818	0.3881	2.0	60.0	0	2011-01-08
174.0	98.0	0	0.59	1.0	12.0	0	6.0	1.0	2.0	0.2	0.1818	0.3582	8.0	90.0	0	2011-01-08
175.0	102.0	0	0.44	1.0	13.0	0	6.0	1.0	1.0	0.2	0.1818	0.3284	7.0	95.0	0	2011-01-08
176.0	95.0	0	0.32	1.0	14.0	0	6.0	1.0	1.0	0.2	0.1667	0.4925	12.0	83.0	0	2011-01-08
177.0	74.0	0	0.32	1.0	15.0	0	6.0	1.0	1.0	0.2	0.1667	0.4478	5.0	69.0	0	2011-01-08
178.0	76.0	0	0.29	1.0	16.0	0	6.0	1.0	1.0	0.18	0.1364	0.4478	8.0	68.0	0	2011-01-08
179.0	69.0	0	0.37	1.0	17.0	0	6.0	1.0	1.0	0.16	0.1212	0.5522	5.0	64.0	0	2011-01-08
180.0	55.0	0	0.39	1.0	18.0	0	6.0	1.0	1.0	0.14	0.1212	0.2985	3.0	52.0	0	2011-01-08
181.0	30.0	0	0.36	1.0	19.0	0	6.0	1.0	1.0	0.14	0.1212	0.2537	4.0	26.0	0	2011-01-08
182.0	28.0	0	0.36	1.0	20.0	0	6.0	1.0	1.0	0.12	0.1212	0.2537	0.0	28.0	0	2011-01-08
183.0	37.0	0	0.39	1.0	21.0	0	6.0	1.0	1.0	0.12	0.1061	0.3582	2.0	35.0	0	2011-01-08
184.0	34.0	0	0.36	1.0	22.0	0	6.0	1.0	1.0	0.12	0.1061	0.3881	1.0	33.0	0	2011-01-08
185.0	22.0	0	0.39	1.0	23.0	0	6.0	1.0	1.0	0.1	0.0606	0.4478	0.0	22.0	0	2011-01-08
186.0	25.0	0	0.42	1.0	0.0	0	0.0	1.0	1.0	0.1	0.0758	0.3881	1.0	24.0	0	2011-01-09
187.0	12.0	0	0.42	1.0	1.0	0	0.0	1.0	1.0	0.1	0.0606	0.4627	0.0	12.0	0	2011-01-09
188.0	11.0	0	0.46	1.0	2.0	0	0.0	1.0	1.0	0.1	0.0606	0.4627	0.0	11.0	0	2011-01-09
189.0	4.0	0	0.46	1.0	3.0	0	0.0	1.0	1.0	0.1	0.0758	0.4179	0.0	4.0	0	2011-01-09
190.0	1.0	0	0.53	1.0	4.0	0	0.0	1.0	1.0	0.08	0.0909	0.194	0.0	1.0	0	2011-01-09
191.0	1.0	0	0.53	1.0	5.0	0	0.0	1.0	1.0	0.08	0.0909	0.194	0.0	1.0	0	2011-01-09
192.0	1.0	0	0.49	1.0	6.0	0	0.0	1.0	1.0	0.1	0.0909	0.2836	0.0	1.0	0	2011-01-09
193.0	6.0	0	0.53	1.0	7.0	0	0.0	1.0	1.0	0.08	0.0909	0.194	1.0	5.0	0	2011-01-09
194.0	10.0	0	0.49	1.0	8.0	0	0.0	1.0	1.0	0.1	0.0909	0.2836	0.0	10.0	0	2011-01-09
195.0	19.0	0	0.46	1.0	9.0	0	0.0	1.0	1.0	0.12	0.0758	0.5224	0.0	19.0	0	2011-01-09
196.0	49.0	0	0.43	1.0	10.0	0	0.0	1.0	1.0	0.14	0.1061	0.3881	0.0	49.0	0	2011-01-09
197.0	49.0	0	0.4	1.0	11.0	0	0.0	1.0	1.0	0.16	0.1212	0.5224	2.0	47.0	0	2011-01-09
198.0	83.0	0	0.37	1.0	12.0	0	0.0	1.0	1.0	0.18	0.1364	0.4478	4.0	79.0	0	2011-01-09
199.0	75.0	0	0.34	1.0	13.0	0	0.0	1.0	1.0	0.2	0.1667	0.4478	6.0	69.0	0	2011-01-09
200.0	72.0	0	0.32	1.0	14.0	0	0.0	1.0	1.0	0.22	0.1818	0.4627	8.0	64.0	0	2011-01-09
201.0	82.0	0	0.35	1.0	15.0	0	0.0	1.0	1.0	0.22	0.197	0.3582	5.0	77.0	0	2011-01-09
202.0	92.0	0	0.34	1.0	16.0	0	0.0	1.0	1.0	0.2	0.1667	0.4478	13.0	79.0	0	2011-01-09
203.0	62.0	0	0.37	1.0	17.0	0	0.0	1.0	1.0	0.18	0.1515	0.3881	3.0	59.0	0	2011-01-09
204.0	48.0	0	0.4	1.0	18.0	0	0.0	1.0	1.0	0.16	0.1364	0.3284	4.0	44.0	0	2011-01-09
205.0	41.0	0	0.43	1.0	19.0	0	0.0	1.0	1.0	0.16	0.1364	0.3284	1.0	40.0	0	2011-01-09
206.0	38.0	0	0.46	1.0	20.0	0	0.0	1.0	1.0	0.14	0.1212	0.2537	0.0	38.0	0	2011-01-09
207.0	20.0	0	0.46	1.0	21.0	0	0.0	1.0	1.0	0.14	0.1061	0.4179	1.0	19.0	0	2011-01-09
