total_bill	day	time	size	sex	tip	smoker
34.63	Sun	Dinner	2.0	Male	3.55	Yes
34.65	Sun	Dinner	4.0	Male	3.68	Yes
23.33	Sun	Dinner	2.0	Male	5.65	Yes
45.35	Sun	Dinner	3.0	Male	3.5	Yes
23.17	Sun	Dinner	4.0	Male	6.5	Yes
40.55	Sun	Dinner	2.0	Male	3.0	Yes
20.69	Sun	Dinner	5.0	Male	5.0	No
20.9	Sun	Dinner	3.0	Female	3.5	Yes
30.46	Sun	Dinner	5.0	Male	2.0	Yes
18.15	Sun	Dinner	3.0	Female	3.5	Yes
23.1	Sun	Dinner	3.0	Male	4.0	Yes
15.69	Sun	Dinner	2.0	Male	1.5	Yes
19.81	Thur	Lunch	2.0	Female	4.19	Yes
28.44	Thur	Lunch	2.0	Male	2.56	Yes
15.48	Thur	Lunch	2.0	Male	2.02	Yes
16.58	Thur	Lunch	2.0	Male	4.0	Yes
7.56	Thur	Lunch	2.0	Male	1.44	No
10.34	Thur	Lunch	2.0	Male	2.0	Yes
43.11	Thur	Lunch	4.0	Female	5.0	Yes
13.0	Thur	Lunch	2.0	Female	2.0	Yes
13.51	Thur	Lunch	2.0	Male	2.0	Yes
18.71	Thur	Lunch	3.0	Male	4.0	Yes
12.74	Thur	Lunch	2.0	Female	2.01	Yes
13.0	Thur	Lunch	2.0	Female	2.0	Yes
16.4	Thur	Lunch	2.0	Female	2.5	Yes
20.53	Thur	Lunch	4.0	Male	4.0	Yes
16.47	Thur	Lunch	3.0	Female	3.23	Yes
26.59	Sat	Dinner	3.0	Male	3.41	Yes
38.73	Sat	Dinner	4.0	Male	3.0	Yes
24.27	Sat	Dinner	2.0	Male	2.03	Yes
12.76	Sat	Dinner	2.0	Female	2.23	Yes
30.06	Sat	Dinner	3.0	Male	2.0	Yes
25.89	Sat	Dinner	4.0	Male	5.16	Yes
48.33	Sat	Dinner	4.0	Male	9.0	No
13.27	Sat	Dinner	2.0	Female	2.5	Yes
28.17	Sat	Dinner	3.0	Female	6.5	Yes
12.9	Sat	Dinner	2.0	Female	1.1	Yes
28.15	Sat	Dinner	5.0	Male	3.0	Yes
11.59	Sat	Dinner	2.0	Male	1.5	Yes
7.74	Sat	Dinner	2.0	Male	1.44	Yes
30.14	Sat	Dinner	4.0	Female	3.09	Yes
12.16	Fri	Lunch	2.0	Male	2.2	Yes
13.42	Fri	Lunch	2.0	Female	3.48	Yes
8.58	Fri	Lunch	1.0	Male	1.92	Yes
15.98	Fri	Lunch	3.0	Female	3.0	No
13.42	Fri	Lunch	2.0	Male	1.58	Yes
16.27	Fri	Lunch	2.0	Female	2.5	Yes
10.09	Fri	Lunch	2.0	Female	2.0	Yes
20.45	Sat	Dinner	4.0	Male	3.0	No
13.28	Sat	Dinner	2.0	Male	2.72	No
22.12	Sat	Dinner	2.0	Female	2.88	Yes
24.01	Sat	Dinner	4.0	Male	2.0	Yes
15.69	Sat	Dinner	3.0	Male	3.0	Yes
11.61	Sat	Dinner	2.0	Male	3.39	No
10.77	Sat	Dinner	2.0	Male	1.47	No
15.53	Sat	Dinner	2.0	Male	3.0	Yes
10.07	Sat	Dinner	2.0	Male	1.25	No
12.6	Sat	Dinner	2.0	Male	1.0	Yes
32.83	Sat	Dinner	2.0	Male	1.17	Yes
35.83	Sat	Dinner	3.0	Female	4.67	No
29.03	Sat	Dinner	3.0	Male	5.92	No
27.18	Sat	Dinner	2.0	Female	2.0	Yes
22.67	Sat	Dinner	2.0	Male	2.0	Yes
17.82	Sat	Dinner	2.0	Male	1.75	No
18.78	Thur	Dinner	2.0	Female	3.0	No
