instant	cnt	yr	hum	mnth	holiday	weekday	season	weathersit	temp	atemp	windspeed	casual	registered	workingday	dteday
18.0	683.0	0	0.861667	1.0	0	2.0	1.0	2.0	0.216667	0.232333	0.146775	9.0	674.0	1	2011-01-18
19.0	1650.0	0	0.741739	1.0	0	3.0	1.0	2.0	0.292174	0.298422	0.208317	78.0	1572.0	1	2011-01-19
20.0	1927.0	0	0.538333	1.0	0	4.0	1.0	2.0	0.261667	0.25505	0.195904	83.0	1844.0	1	2011-01-20
21.0	1543.0	0	0.457083	1.0	0	5.0	1.0	1.0	0.1775	0.157833	0.353242	75.0	1468.0	1	2011-01-21
22.0	981.0	0	0.4	1.0	0	6.0	1.0	1.0	0.0591304	0.0790696	0.17197	93.0	888.0	0	2011-01-22
23.0	986.0	0	0.436522	1.0	0	0.0	1.0	1.0	0.0965217	0.0988391	0.2466	150.0	836.0	0	2011-01-23
24.0	1416.0	0	0.491739	1.0	0	1.0	1.0	1.0	0.0973913	0.11793	0.15833	86.0	1330.0	1	2011-01-24
25.0	1985.0	0	0.616957	1.0	0	2.0	1.0	2.0	0.223478	0.234526	0.129796	186.0	1799.0	1	2011-01-25
26.0	506.0	0	0.8625	1.0	0	3.0	1.0	3.0	0.2175	0.2036	0.29385	34.0	472.0	1	2011-01-26
27.0	431.0	0	0.6875	1.0	0	4.0	1.0	1.0	0.195	0.2197	0.113837	15.0	416.0	1	2011-01-27
28.0	1167.0	0	0.793043	1.0	0	5.0	1.0	2.0	0.203478	0.223317	0.1233	38.0	1129.0	1	2011-01-28
29.0	1098.0	0	0.651739	1.0	0	6.0	1.0	1.0	0.196522	0.212126	0.145365	123.0	975.0	0	2011-01-29
30.0	1096.0	0	0.722174	1.0	0	0.0	1.0	1.0	0.216522	0.250322	0.0739826	140.0	956.0	0	2011-01-30
31.0	1501.0	0	0.60375	1.0	0	1.0	1.0	2.0	0.180833	0.18625	0.187192	42.0	1459.0	1	2011-01-31
32.0	1360.0	0	0.829565	2.0	0	2.0	1.0	2.0	0.192174	0.23453	0.053213	47.0	1313.0	1	2011-02-01
33.0	1526.0	0	0.775417	2.0	0	3.0	1.0	2.0	0.26	0.254417	0.264308	72.0	1454.0	1	2011-02-02
34.0	1550.0	0	0.437826	2.0	0	4.0	1.0	1.0	0.186957	0.177878	0.277752	61.0	1489.0	1	2011-02-03
35.0	1708.0	0	0.585217	2.0	0	5.0	1.0	2.0	0.211304	0.228587	0.127839	88.0	1620.0	1	2011-02-04
36.0	1005.0	0	0.929167	2.0	0	6.0	1.0	2.0	0.233333	0.243058	0.161079	100.0	905.0	0	2011-02-05
37.0	1623.0	0	0.568333	2.0	0	0.0	1.0	1.0	0.285833	0.291671	0.1418	354.0	1269.0	0	2011-02-06
38.0	1712.0	0	0.738333	2.0	0	1.0	1.0	1.0	0.271667	0.303658	0.0454083	120.0	1592.0	1	2011-02-07
39.0	1530.0	0	0.537917	2.0	0	2.0	1.0	1.0	0.220833	0.198246	0.36195	64.0	1466.0	1	2011-02-08
40.0	1605.0	0	0.494783	2.0	0	3.0	1.0	2.0	0.134783	0.144283	0.188839	53.0	1552.0	1	2011-02-09
41.0	1538.0	0	0.437391	2.0	0	4.0	1.0	1.0	0.144348	0.149548	0.221935	47.0	1491.0	1	2011-02-10
42.0	1746.0	0	0.506364	2.0	0	5.0	1.0	1.0	0.189091	0.213509	0.10855	149.0	1597.0	1	2011-02-11
43.0	1472.0	0	0.544167	2.0	0	6.0	1.0	1.0	0.2225	0.232954	0.203367	288.0	1184.0	0	2011-02-12
44.0	1589.0	0	0.457391	2.0	0	0.0	1.0	1.0	0.316522	0.324113	0.260883	397.0	1192.0	0	2011-02-13
45.0	1913.0	0	0.375833	2.0	0	1.0	1.0	1.0	0.415	0.39835	0.417908	208.0	1705.0	1	2011-02-14
46.0	1815.0	0	0.314348	2.0	0	2.0	1.0	1.0	0.266087	0.254274	0.291374	140.0	1675.0	1	2011-02-15
47.0	2115.0	0	0.423478	2.0	0	3.0	1.0	1.0	0.318261	0.3162	0.251791	218.0	1897.0	1	2011-02-16
48.0	2475.0	0	0.505	2.0	0	4.0	1.0	1.0	0.435833	0.428658	0.230104	259.0	2216.0	1	2011-02-17
49.0	2927.0	0	0.516667	2.0	0	5.0	1.0	1.0	0.521667	0.511983	0.264925	579.0	2348.0	1	2011-02-18
50.0	1635.0	0	0.187917	2.0	0	6.0	1.0	1.0	0.399167	0.391404	0.507463	532.0	1103.0	0	2011-02-19
51.0	1812.0	0	0.407826	2.0	0	0.0	1.0	1.0	0.285217	0.27733	0.223235	639.0	1173.0	0	2011-02-20
52.0	1107.0	0	0.605	2.0	1	1.0	1.0	2.0	0.303333	0.284075	0.307846	195.0	912.0	0	2011-02-21
53.0	1450.0	0	0.577778	2.0	0	2.0	1.0	1.0	0.182222	0.186033	0.195683	74.0	1376.0	1	2011-02-22
54.0	1917.0	0	0.423043	2.0	0	3.0	1.0	1.0	0.221739	0.245717	0.094113	139.0	1778.0	1	2011-02-23
55.0	1807.0	0	0.697391	2.0	0	4.0	1.0	2.0	0.295652	0.289191	0.250496	100.0	1707.0	1	2011-02-24
56.0	1461.0	0	0.712174	2.0	0	5.0	1.0	2.0	0.364348	0.350461	0.346539	120.0	1341.0	1	2011-02-25
57.0	1969.0	0	0.537917	2.0	0	6.0	1.0	1.0	0.2825	0.282192	0.186571	424.0	1545.0	0	2011-02-26
58.0	2402.0	0	0.68	2.0	0	0.0	1.0	1.0	0.343478	0.351109	0.125248	694.0	1708.0	0	2011-02-27
59.0	1446.0	0	0.876364	2.0	0	1.0	1.0	2.0	0.407273	0.400118	0.289686	81.0	1365.0	1	2011-02-28
60.0	1851.0	0	0.535	3.0	0	2.0	1.0	1.0	0.266667	0.263879	0.216425	137.0	1714.0	1	2011-03-01
61.0	2134.0	0	0.449583	3.0	0	3.0	1.0	1.0	0.335	0.320071	0.307833	231.0	1903.0	1	2011-03-02
62.0	1685.0	0	0.318333	3.0	0	4.0	1.0	1.0	0.198333	0.200133	0.225754	123.0	1562.0	1	2011-03-03
63.0	1944.0	0	0.610417	3.0	0	5.0	1.0	2.0	0.261667	0.255679	0.203346	214.0	1730.0	1	2011-03-04
64.0	2077.0	0	0.789167	3.0	0	6.0	1.0	2.0	0.384167	0.378779	0.251871	640.0	1437.0	0	2011-03-05
65.0	605.0	0	0.948261	3.0	0	0.0	1.0	2.0	0.376522	0.366252	0.343287	114.0	491.0	0	2011-03-06
66.0	1872.0	0	0.551304	3.0	0	1.0	1.0	1.0	0.261739	0.238461	0.341352	244.0	1628.0	1	2011-03-07
67.0	2133.0	0	0.420833	3.0	0	2.0	1.0	1.0	0.2925	0.3024	0.12065	316.0	1817.0	1	2011-03-08
68.0	1891.0	0	0.775417	3.0	0	3.0	1.0	2.0	0.295833	0.286608	0.22015	191.0	1700.0	1	2011-03-09
69.0	623.0	0	0.0	3.0	0	4.0	1.0	3.0	0.389091	0.385668	0.261877	46.0	577.0	1	2011-03-10
70.0	1977.0	0	0.649565	3.0	0	5.0	1.0	2.0	0.316522	0.305	0.23297	247.0	1730.0	1	2011-03-11
71.0	2132.0	0	0.594583	3.0	0	6.0	1.0	1.0	0.329167	0.32575	0.220775	724.0	1408.0	0	2011-03-12
72.0	2417.0	0	0.527391	3.0	0	0.0	1.0	1.0	0.384348	0.380091	0.270604	982.0	1435.0	0	2011-03-13
73.0	2046.0	0	0.496957	3.0	0	1.0	1.0	1.0	0.325217	0.332	0.136926	359.0	1687.0	1	2011-03-14
74.0	2056.0	0	0.655652	3.0	0	2.0	1.0	2.0	0.317391	0.318178	0.184309	289.0	1767.0	1	2011-03-15
75.0	2192.0	0	0.776522	3.0	0	3.0	1.0	2.0	0.365217	0.36693	0.203117	321.0	1871.0	1	2011-03-16
76.0	2744.0	0	0.602917	3.0	0	4.0	1.0	1.0	0.415	0.410333	0.209579	424.0	2320.0	1	2011-03-17
77.0	3239.0	0	0.525217	3.0	0	5.0	1.0	1.0	0.54	0.527009	0.231017	884.0	2355.0	1	2011-03-18
78.0	3117.0	0	0.379167	3.0	0	6.0	1.0	1.0	0.4725	0.466525	0.368167	1424.0	1693.0	0	2011-03-19
79.0	2471.0	0	0.47375	3.0	0	0.0	1.0	1.0	0.3325	0.32575	0.207721	1047.0	1424.0	0	2011-03-20
80.0	2077.0	0	0.737391	3.0	0	1.0	2.0	2.0	0.430435	0.409735	0.288783	401.0	1676.0	1	2011-03-21
81.0	2703.0	0	0.624583	3.0	0	2.0	2.0	1.0	0.441667	0.440642	0.22575	460.0	2243.0	1	2011-03-22
82.0	2121.0	0	0.839565	3.0	0	3.0	2.0	2.0	0.346957	0.337939	0.234261	203.0	1918.0	1	2011-03-23
83.0	1865.0	0	0.805833	3.0	0	4.0	2.0	2.0	0.285	0.270833	0.243787	166.0	1699.0	1	2011-03-24
84.0	2210.0	0	0.495	3.0	0	5.0	2.0	1.0	0.264167	0.256312	0.230725	300.0	1910.0	1	2011-03-25
85.0	2496.0	0	0.394167	3.0	0	6.0	2.0	1.0	0.265833	0.257571	0.209571	981.0	1515.0	0	2011-03-26
86.0	1693.0	0	0.493913	3.0	0	0.0	2.0	2.0	0.253043	0.250339	0.1843	472.0	1221.0	0	2011-03-27
87.0	2028.0	0	0.302174	3.0	0	1.0	2.0	1.0	0.264348	0.257574	0.212204	222.0	1806.0	1	2011-03-28
88.0	2425.0	0	0.314167	3.0	0	2.0	2.0	1.0	0.3025	0.292908	0.226996	317.0	2108.0	1	2011-03-29
89.0	1536.0	0	0.646667	3.0	0	3.0	2.0	2.0	0.3	0.29735	0.172888	168.0	1368.0	1	2011-03-30
90.0	1685.0	0	0.918333	3.0	0	4.0	2.0	3.0	0.268333	0.257575	0.217646	179.0	1506.0	1	2011-03-31
91.0	2227.0	0	0.68625	4.0	0	5.0	2.0	2.0	0.3	0.283454	0.258708	307.0	1920.0	1	2011-04-01
92.0	2252.0	0	0.65375	4.0	0	6.0	2.0	2.0	0.315	0.315637	0.197146	898.0	1354.0	0	2011-04-02
93.0	3249.0	0	0.48	4.0	0	0.0	2.0	1.0	0.378333	0.378767	0.182213	1651.0	1598.0	0	2011-04-03
94.0	3115.0	0	0.42625	4.0	0	1.0	2.0	1.0	0.573333	0.542929	0.385571	734.0	2381.0	1	2011-04-04
95.0	1795.0	0	0.642083	4.0	0	2.0	2.0	2.0	0.414167	0.39835	0.388067	167.0	1628.0	1	2011-04-05
96.0	2808.0	0	0.470833	4.0	0	3.0	2.0	1.0	0.390833	0.387608	0.263063	413.0	2395.0	1	2011-04-06
97.0	3141.0	0	0.602917	4.0	0	4.0	2.0	1.0	0.4375	0.433696	0.162312	571.0	2570.0	1	2011-04-07
98.0	1471.0	0	0.83625	4.0	0	5.0	2.0	2.0	0.335833	0.324479	0.226992	172.0	1299.0	1	2011-04-08
99.0	2455.0	0	0.8775	4.0	0	6.0	2.0	2.0	0.3425	0.341529	0.133083	879.0	1576.0	0	2011-04-09
100.0	2895.0	0	0.8575	4.0	0	0.0	2.0	2.0	0.426667	0.426737	0.146767	1188.0	1707.0	0	2011-04-10
101.0	3348.0	0	0.716956	4.0	0	1.0	2.0	2.0	0.595652	0.565217	0.324474	855.0	2493.0	1	2011-04-11
102.0	2034.0	0	0.739167	4.0	0	2.0	2.0	2.0	0.5025	0.493054	0.274879	257.0	1777.0	1	2011-04-12
103.0	2162.0	0	0.819167	4.0	0	3.0	2.0	2.0	0.4125	0.417283	0.250617	209.0	1953.0	1	2011-04-13
104.0	3267.0	0	0.540417	4.0	0	4.0	2.0	1.0	0.4675	0.462742	0.1107	529.0	2738.0	1	2011-04-14
105.0	3126.0	0	0.67125	4.0	1	5.0	2.0	1.0	0.446667	0.441913	0.226375	642.0	2484.0	0	2011-04-15
106.0	795.0	0	0.888333	4.0	0	6.0	2.0	3.0	0.430833	0.425492	0.340808	121.0	674.0	0	2011-04-16
107.0	3744.0	0	0.479583	4.0	0	0.0	2.0	1.0	0.456667	0.445696	0.303496	1558.0	2186.0	0	2011-04-17
108.0	3429.0	0	0.5425	4.0	0	1.0	2.0	1.0	0.5125	0.503146	0.163567	669.0	2760.0	1	2011-04-18
109.0	3204.0	0	0.665833	4.0	0	2.0	2.0	2.0	0.505833	0.489258	0.157971	409.0	2795.0	1	2011-04-19
110.0	3944.0	0	0.614167	4.0	0	3.0	2.0	1.0	0.595	0.564392	0.241925	613.0	3331.0	1	2011-04-20
111.0	4189.0	0	0.407083	4.0	0	4.0	2.0	1.0	0.459167	0.453892	0.325258	745.0	3444.0	1	2011-04-21
112.0	1683.0	0	0.729583	4.0	0	5.0	2.0	2.0	0.336667	0.321954	0.219521	177.0	1506.0	1	2011-04-22
113.0	4036.0	0	0.887917	4.0	0	6.0	2.0	2.0	0.46	0.450121	0.230725	1462.0	2574.0	0	2011-04-23
114.0	4191.0	0	0.810833	4.0	0	0.0	2.0	2.0	0.581667	0.551763	0.192175	1710.0	2481.0	0	2011-04-24
115.0	4073.0	0	0.776667	4.0	0	1.0	2.0	1.0	0.606667	0.5745	0.185333	773.0	3300.0	1	2011-04-25
116.0	4400.0	0	0.729167	4.0	0	2.0	2.0	1.0	0.631667	0.594083	0.3265	678.0	3722.0	1	2011-04-26
117.0	3872.0	0	0.835417	4.0	0	3.0	2.0	2.0	0.62	0.575142	0.3122	547.0	3325.0	1	2011-04-27
118.0	4058.0	0	0.700833	4.0	0	4.0	2.0	2.0	0.6175	0.578929	0.320908	569.0	3489.0	1	2011-04-28
119.0	4595.0	0	0.457083	4.0	0	5.0	2.0	1.0	0.51	0.497463	0.240063	878.0	3717.0	1	2011-04-29
120.0	5312.0	0	0.503333	4.0	0	6.0	2.0	1.0	0.4725	0.464021	0.235075	1965.0	3347.0	0	2011-04-30
121.0	3351.0	0	0.762083	5.0	0	0.0	2.0	2.0	0.451667	0.448204	0.106354	1138.0	2213.0	0	2011-05-01
122.0	4401.0	0	0.73	5.0	0	1.0	2.0	2.0	0.549167	0.532833	0.183454	847.0	3554.0	1	2011-05-02
123.0	4451.0	0	0.697083	5.0	0	2.0	2.0	2.0	0.616667	0.582079	0.342667	603.0	3848.0	1	2011-05-03
124.0	2633.0	0	0.737083	5.0	0	3.0	2.0	2.0	0.414167	0.40465	0.328996	255.0	2378.0	1	2011-05-04
125.0	4433.0	0	0.444167	5.0	0	4.0	2.0	1.0	0.459167	0.441917	0.295392	614.0	3819.0	1	2011-05-05
126.0	4608.0	0	0.59	5.0	0	5.0	2.0	1.0	0.479167	0.474117	0.228246	894.0	3714.0	1	2011-05-06
127.0	4714.0	0	0.54125	5.0	0	6.0	2.0	1.0	0.52	0.512621	0.16045	1612.0	3102.0	0	2011-05-07
128.0	4333.0	0	0.631667	5.0	0	0.0	2.0	1.0	0.528333	0.518933	0.0746375	1401.0	2932.0	0	2011-05-08
129.0	4362.0	0	0.58875	5.0	0	1.0	2.0	1.0	0.5325	0.525246	0.176	664.0	3698.0	1	2011-05-09
130.0	4803.0	0	0.489167	5.0	0	2.0	2.0	1.0	0.5325	0.522721	0.115671	694.0	4109.0	1	2011-05-10
131.0	4182.0	0	0.632917	5.0	0	3.0	2.0	1.0	0.5425	0.5284	0.120642	550.0	3632.0	1	2011-05-11
132.0	4864.0	0	0.7475	5.0	0	4.0	2.0	1.0	0.535	0.523363	0.189667	695.0	4169.0	1	2011-05-12
133.0	4105.0	0	0.863333	5.0	0	5.0	2.0	2.0	0.5125	0.4943	0.179725	692.0	3413.0	1	2011-05-13
134.0	3409.0	0	0.9225	5.0	0	6.0	2.0	2.0	0.520833	0.500629	0.13495	902.0	2507.0	0	2011-05-14
135.0	4553.0	0	0.867083	5.0	0	0.0	2.0	2.0	0.5625	0.536	0.152979	1582.0	2971.0	0	2011-05-15
136.0	3958.0	0	0.787917	5.0	0	1.0	2.0	1.0	0.5775	0.550512	0.126871	773.0	3185.0	1	2011-05-16
137.0	4123.0	0	0.837917	5.0	0	2.0	2.0	2.0	0.561667	0.538529	0.277354	678.0	3445.0	1	2011-05-17
138.0	3855.0	0	0.87	5.0	0	3.0	2.0	2.0	0.55	0.527158	0.201492	536.0	3319.0	1	2011-05-18
139.0	4575.0	0	0.829583	5.0	0	4.0	2.0	2.0	0.530833	0.510742	0.108213	735.0	3840.0	1	2011-05-19
140.0	4917.0	0	0.719583	5.0	0	5.0	2.0	1.0	0.536667	0.529042	0.125013	909.0	4008.0	1	2011-05-20
141.0	5805.0	0	0.626667	5.0	0	6.0	2.0	1.0	0.6025	0.571975	0.12065	2258.0	3547.0	0	2011-05-21
142.0	4660.0	0	0.749583	5.0	0	0.0	2.0	1.0	0.604167	0.5745	0.148008	1576.0	3084.0	0	2011-05-22
143.0	4274.0	0	0.81	5.0	0	1.0	2.0	2.0	0.631667	0.590296	0.233842	836.0	3438.0	1	2011-05-23
144.0	4492.0	0	0.740833	5.0	0	2.0	2.0	2.0	0.66	0.604813	0.207092	659.0	3833.0	1	2011-05-24
145.0	4978.0	0	0.69625	5.0	0	3.0	2.0	1.0	0.660833	0.615542	0.154233	740.0	4238.0	1	2011-05-25
146.0	4677.0	0	0.6775	5.0	0	4.0	2.0	1.0	0.708333	0.654688	0.199642	758.0	3919.0	1	2011-05-26
147.0	4679.0	0	0.65375	5.0	0	5.0	2.0	1.0	0.681667	0.637008	0.240679	871.0	3808.0	1	2011-05-27
148.0	4758.0	0	0.729583	5.0	0	6.0	2.0	1.0	0.655833	0.612379	0.230092	2001.0	2757.0	0	2011-05-28
149.0	4788.0	0	0.81875	5.0	0	0.0	2.0	1.0	0.6675	0.61555	0.213938	2355.0	2433.0	0	2011-05-29
150.0	4098.0	0	0.685	5.0	1	1.0	2.0	1.0	0.733333	0.671092	0.131225	1549.0	2549.0	0	2011-05-30
151.0	3982.0	0	0.636667	5.0	0	2.0	2.0	1.0	0.775	0.725383	0.111329	673.0	3309.0	1	2011-05-31
152.0	3974.0	0	0.677083	6.0	0	3.0	2.0	2.0	0.764167	0.720967	0.207092	513.0	3461.0	1	2011-06-01
153.0	4968.0	0	0.305	6.0	0	4.0	2.0	1.0	0.715	0.643942	0.292287	736.0	4232.0	1	2011-06-02
154.0	5312.0	0	0.354167	6.0	0	5.0	2.0	1.0	0.62	0.587133	0.253121	898.0	4414.0	1	2011-06-03
155.0	5342.0	0	0.45625	6.0	0	6.0	2.0	1.0	0.635	0.594696	0.123142	1869.0	3473.0	0	2011-06-04
156.0	4906.0	0	0.6525	6.0	0	0.0	2.0	2.0	0.648333	0.616804	0.138692	1685.0	3221.0	0	2011-06-05
157.0	4548.0	0	0.6	6.0	0	1.0	2.0	1.0	0.678333	0.621858	0.121896	673.0	3875.0	1	2011-06-06
158.0	4833.0	0	0.597917	6.0	0	2.0	2.0	1.0	0.7075	0.65595	0.187808	763.0	4070.0	1	2011-06-07
159.0	4401.0	0	0.622083	6.0	0	3.0	2.0	1.0	0.775833	0.727279	0.136817	676.0	3725.0	1	2011-06-08
160.0	3915.0	0	0.568333	6.0	0	4.0	2.0	2.0	0.808333	0.757579	0.149883	563.0	3352.0	1	2011-06-09
161.0	4586.0	0	0.605	6.0	0	5.0	2.0	1.0	0.755	0.703292	0.140554	815.0	3771.0	1	2011-06-10
162.0	4966.0	0	0.654583	6.0	0	6.0	2.0	1.0	0.725	0.678038	0.15485	1729.0	3237.0	0	2011-06-11
163.0	4460.0	0	0.747917	6.0	0	0.0	2.0	1.0	0.6925	0.643325	0.163567	1467.0	2993.0	0	2011-06-12
164.0	5020.0	0	0.494583	6.0	0	1.0	2.0	1.0	0.635	0.601654	0.30535	863.0	4157.0	1	2011-06-13
165.0	4891.0	0	0.507083	6.0	0	2.0	2.0	1.0	0.604167	0.591546	0.269283	727.0	4164.0	1	2011-06-14
166.0	5180.0	0	0.471667	6.0	0	3.0	2.0	1.0	0.626667	0.587754	0.167912	769.0	4411.0	1	2011-06-15
167.0	3767.0	0	0.688333	6.0	0	4.0	2.0	2.0	0.628333	0.595346	0.206471	545.0	3222.0	1	2011-06-16
168.0	4844.0	0	0.735833	6.0	0	5.0	2.0	1.0	0.649167	0.600383	0.143029	863.0	3981.0	1	2011-06-17
169.0	5119.0	0	0.670417	6.0	0	6.0	2.0	1.0	0.696667	0.643954	0.119408	1807.0	3312.0	0	2011-06-18
170.0	4744.0	0	0.666667	6.0	0	0.0	2.0	2.0	0.699167	0.645846	0.102	1639.0	3105.0	0	2011-06-19
171.0	4010.0	0	0.74625	6.0	0	1.0	2.0	2.0	0.635	0.595346	0.155475	699.0	3311.0	1	2011-06-20
172.0	4835.0	0	0.770417	6.0	0	2.0	3.0	2.0	0.680833	0.637646	0.171025	774.0	4061.0	1	2011-06-21
173.0	4507.0	0	0.7075	6.0	0	3.0	3.0	1.0	0.733333	0.693829	0.172262	661.0	3846.0	1	2011-06-22
174.0	4790.0	0	0.703333	6.0	0	4.0	3.0	2.0	0.728333	0.693833	0.238804	746.0	4044.0	1	2011-06-23
175.0	4991.0	0	0.573333	6.0	0	5.0	3.0	1.0	0.724167	0.656583	0.222025	969.0	4022.0	1	2011-06-24
176.0	5202.0	0	0.483333	6.0	0	6.0	3.0	1.0	0.695	0.643313	0.209571	1782.0	3420.0	0	2011-06-25
177.0	5305.0	0	0.513333	6.0	0	0.0	3.0	1.0	0.68	0.637629	0.0945333	1920.0	3385.0	0	2011-06-26
178.0	4708.0	0	0.658333	6.0	0	1.0	3.0	2.0	0.6825	0.637004	0.107588	854.0	3854.0	1	2011-06-27
179.0	4648.0	0	0.634167	6.0	0	2.0	3.0	1.0	0.744167	0.692558	0.144283	732.0	3916.0	1	2011-06-28
180.0	5225.0	0	0.497917	6.0	0	3.0	3.0	1.0	0.728333	0.654688	0.261821	848.0	4377.0	1	2011-06-29
181.0	5515.0	0	0.434167	6.0	0	4.0	3.0	1.0	0.696667	0.637008	0.185312	1027.0	4488.0	1	2011-06-30
182.0	5362.0	0	0.39625	7.0	0	5.0	3.0	1.0	0.7225	0.652162	0.102608	1246.0	4116.0	1	2011-07-01
183.0	5119.0	0	0.444583	7.0	0	6.0	3.0	1.0	0.738333	0.667308	0.115062	2204.0	2915.0	0	2011-07-02
184.0	4649.0	0	0.6825	7.0	0	0.0	3.0	2.0	0.716667	0.668575	0.228858	2282.0	2367.0	0	2011-07-03
185.0	6043.0	0	0.637917	7.0	1	1.0	3.0	2.0	0.726667	0.665417	0.0814792	3065.0	2978.0	0	2011-07-04
186.0	4665.0	0	0.590417	7.0	0	2.0	3.0	1.0	0.746667	0.696338	0.126258	1031.0	3634.0	1	2011-07-05
187.0	4629.0	0	0.743333	7.0	0	3.0	3.0	1.0	0.72	0.685633	0.149883	784.0	3845.0	1	2011-07-06
188.0	4592.0	0	0.65125	7.0	0	4.0	3.0	1.0	0.75	0.686871	0.1592	754.0	3838.0	1	2011-07-07
189.0	4040.0	0	0.757917	7.0	0	5.0	3.0	2.0	0.709167	0.670483	0.225129	692.0	3348.0	1	2011-07-08
190.0	5336.0	0	0.609167	7.0	0	6.0	3.0	1.0	0.733333	0.664158	0.167912	1988.0	3348.0	0	2011-07-09
191.0	4881.0	0	0.578333	7.0	0	0.0	3.0	1.0	0.7475	0.690025	0.183471	1743.0	3138.0	0	2011-07-10
192.0	4086.0	0	0.635833	7.0	0	1.0	3.0	1.0	0.7625	0.729804	0.282337	723.0	3363.0	1	2011-07-11
193.0	4258.0	0	0.559167	7.0	0	2.0	3.0	1.0	0.794167	0.739275	0.200254	662.0	3596.0	1	2011-07-12
194.0	4342.0	0	0.631667	7.0	0	3.0	3.0	1.0	0.746667	0.689404	0.146133	748.0	3594.0	1	2011-07-13
195.0	5084.0	0	0.47625	7.0	0	4.0	3.0	1.0	0.680833	0.635104	0.240667	888.0	4196.0	1	2011-07-14
196.0	5538.0	0	0.59125	7.0	0	5.0	3.0	1.0	0.663333	0.624371	0.182833	1318.0	4220.0	1	2011-07-15
197.0	5923.0	0	0.585	7.0	0	6.0	3.0	1.0	0.686667	0.638263	0.208342	2418.0	3505.0	0	2011-07-16
198.0	5302.0	0	0.604167	7.0	0	0.0	3.0	1.0	0.719167	0.669833	0.245033	2006.0	3296.0	0	2011-07-17
199.0	4458.0	0	0.65125	7.0	0	1.0	3.0	1.0	0.746667	0.703925	0.215804	841.0	3617.0	1	2011-07-18
200.0	4541.0	0	0.650417	7.0	0	2.0	3.0	1.0	0.776667	0.747479	0.1306	752.0	3789.0	1	2011-07-19
201.0	4332.0	0	0.707083	7.0	0	3.0	3.0	1.0	0.768333	0.74685	0.113817	644.0	3688.0	1	2011-07-20
202.0	3784.0	0	0.69125	7.0	0	4.0	3.0	2.0	0.815	0.826371	0.222021	632.0	3152.0	1	2011-07-21
203.0	3387.0	0	0.580417	7.0	0	5.0	3.0	1.0	0.848333	0.840896	0.1331	562.0	2825.0	1	2011-07-22
204.0	3285.0	0	0.5	7.0	0	6.0	3.0	1.0	0.849167	0.804287	0.131221	987.0	2298.0	0	2011-07-23
205.0	3606.0	0	0.550833	7.0	0	0.0	3.0	1.0	0.83	0.794829	0.169171	1050.0	2556.0	0	2011-07-24
206.0	3840.0	0	0.757083	7.0	0	1.0	3.0	1.0	0.743333	0.720958	0.0908083	568.0	3272.0	1	2011-07-25
